Rank,Team,GM,W-L,OPP PTS,OPP PPG
310,UTRGV (WAC) ,31,15-16 ,2430,78.4
311,Long Beach St. (Big West) ,32,15-17 ,2510,78.4
311,Central Ark. (Southland) ,32,17-15 ,2510,78.4
313,Wyoming (MWC) ,32,20-12 ,2512,78.5
313,Northern Ariz. (Big Sky) ,32,5-27 ,2512,78.5
315,Drexel (CAA) ,33,13-20 ,2591,78.5
316,UMass Lowell (America East) ,30,12-18 ,2356,78.5
317,Alabama St. (SWAC) ,31,8-23 ,2437,78.6
318,Pepperdine (WCC) ,32,6-26 ,2516,78.6
319,Iowa (Big Ten) ,33,14-19 ,2597,78.7
320,SIUE (OVC) ,30,9-21 ,2362,78.7
321,Arkansas St. (Sun Belt) ,32,11-21 ,2523,78.8
322,Montana St. (Big Sky) ,32,13-19 ,2524,78.9
323,Florida A&M (MEAC) ,34,9-25 ,2684,78.9
324,Brown (Ivy League) ,27,11-16 ,2133,79
325,Colorado St. (MWC) ,32,11-21 ,2537,79.3
326,Marshall (C-USA) ,31,21-10 ,2458,79.3
327,Bethune-Cookman (MEAC) ,32,18-14 ,2543,79.5
328,Portland St. (Big Sky) ,32,20-12 ,2553,79.8
329,Charlotte (C-USA) ,29,6-23 ,2317,79.9
330,Texas Southern (SWAC) ,32,13-19 ,2568,80.3
331,Howard (MEAC) ,33,10-23 ,2654,80.4
332,Cornell (Ivy League) ,27,12-15 ,2176,80.6
333,Southern Utah (Big Sky) ,30,12-18 ,2423,80.8
334,Marist (MAAC) ,31,6-25 ,2515,81.1
335,North Dakota (Big Sky) ,31,12-19 ,2528,81.5
336,Oklahoma (Big 12) ,31,18-13 ,2531,81.6
336,William & Mary (CAA) ,31,19-12 ,2531,81.6
338,Samford (SoCon) ,32,10-22 ,2639,82.5
339,Youngstown St. (Horizon) ,32,8-24 ,2647,82.7
340,South Carolina St. (MEAC) ,32,10-22 ,2660,83.1
341,Bryant (NEC) ,31,3-28 ,2582,83.3
342,UNCW (CAA) ,32,11-21 ,2668,83.4
343,Omaha (Summit League) ,31,9-22 ,2588,83.5
344,Niagara (MAAC) ,32,19-13 ,2686,83.9
345,Houston Baptist (Southland) ,31,6-25 ,2617,84.4
346,USC Upstate (ASUN) ,32,7-25 ,2723,85.1
347,Detroit Mercy (Horizon) ,32,8-24 ,2743,85.7
348,Chicago St. (WAC) ,31,3-28 ,2659,85.8
349,North Florida (ASUN) ,33,14-19 ,2873,87.1
350,The Citadel (SoCon) ,32,11-21 ,2819,88.1
351,Savannah St. (MEAC) ,31,15-16 ,2933,94.6
