Rank,Team,GM,W-L,Opp TO,TO,Ratio
335,South Fla. (AAC) ,32,10-22 ,346,449,-3.2
336,UC Irvine (Big West) ,33,17-16 ,351,464,-3.4
337,Colorado (Pac-12) ,32,17-15 ,339,451,-3.5
338,Central Conn. St. (NEC) ,32,14-18 ,360,473,-3.5
339,Pittsburgh (ACC) ,32,8-24 ,329,443,-3.6
340,North Florida (ASUN) ,33,14-19 ,353,478,-3.8
341,Denver (Summit League) ,30,15-15 ,335,451,-3.9
342,Siena (MAAC) ,32,8-24 ,348,483,-4.2
343,Sacred Heart (NEC) ,31,10-21 ,327,462,-4.4
344,Marist (MAAC) ,31,6-25 ,333,488,-5
345,Alabama A&M (SWAC) ,31,3-28 ,353,514,-5.2
346,San Jose St. (MWC) ,30,4-26 ,319,490,-5.7
