Rank,Team,GM,W-L,Orebs,Drebs,REB
217,Coppin St. (MEAC) ,32,5-27 ,273,808,1081
218,St. John's (NY) (Big East) ,32,16-16 ,283,797,1080
218,Southeastern La. (Southland) ,31,21-10 ,342,738,1080
218,Tennessee (SEC) ,30,23-7 ,336,744,1080
221,Southern Ill. (MVC) ,33,20-13 ,281,798,1079
222,Utah St. (MWC) ,32,16-16 ,283,795,1078
223,Hartford (America East) ,32,19-13 ,271,806,1077
223,Pepperdine (WCC) ,32,6-26 ,324,753,1077
225,Canisius (MAAC) ,32,21-11 ,327,749,1076
225,Loyola Maryland (Patriot) ,31,9-22 ,332,744,1076
225,St. Bonaventure (Atlantic 10) ,30,24-6 ,311,765,1076
225,Southern California (Pac-12) ,31,21-10 ,318,758,1076
225,San Jose St. (MWC) ,30,4-26 ,277,799,1076
230,Vanderbilt (SEC) ,32,12-20 ,312,763,1075
231,Northern Ariz. (Big Sky) ,32,5-27 ,320,754,1074
231,Drake (MVC) ,32,16-16 ,258,816,1074
231,Lehigh (Patriot) ,30,16-14 ,269,805,1074
231,Memphis (AAC) ,31,19-12 ,366,708,1074
235,Chattanooga (SoCon) ,33,10-23 ,307,766,1073
235,Army West Point (Patriot) ,30,13-17 ,302,771,1073
235,Eastern Mich. (MAC) ,31,20-11 ,309,764,1073
238,Charleston So. (Big South) ,31,15-16 ,345,726,1071
239,Arkansas St. (Sun Belt) ,32,11-21 ,359,711,1070
240,Butler (Big East) ,31,19-12 ,291,777,1068
240,Delaware St. (MEAC) ,32,4-28 ,340,728,1068
240,Longwood (Big South) ,33,7-26 ,262,806,1068
243,Wofford (SoCon) ,33,21-12 ,263,804,1067
243,Loyola Chicago (MVC) ,33,28-5 ,209,858,1067
243,Fairleigh Dickinson (NEC) ,31,13-18 ,339,728,1067
246,Cleveland St. (Horizon) ,35,12-23 ,270,796,1066
246,Binghamton (America East) ,31,11-20 ,283,783,1066
248,UMES (MEAC) ,32,7-25 ,348,717,1065
249,Eastern Ill. (OVC) ,31,12-19 ,332,732,1064
249,Clemson (ACC) ,30,22-8 ,268,796,1064
251,NJIT (ASUN) ,30,14-16 ,331,732,1063
252,UConn (AAC) ,31,14-17 ,322,740,1062
252,USC Upstate (ASUN) ,32,7-25 ,337,725,1062
254,Evansville (MVC) ,32,17-15 ,247,812,1059
254,Northwestern (Big Ten) ,32,15-17 ,320,739,1059
256,Virginia Tech (ACC) ,32,21-11 ,236,820,1056
256,Eastern Wash. (Big Sky) ,31,18-13 ,233,823,1056
258,Massachusetts (Atlantic 10) ,32,13-19 ,294,761,1055
259,Georgia St. (Sun Belt) ,31,21-10 ,278,776,1054
259,UC Riverside (Big West) ,30,9-21 ,301,753,1054
261,Illinois (Big Ten) ,32,14-18 ,398,655,1053
261,Fresno St. (MWC) ,31,21-10 ,286,767,1053
263,UCF (AAC) ,30,18-12 ,285,767,1052
264,Jackson St. (SWAC) ,31,12-20 ,393,658,1051
264,Saint Peter's (MAAC) ,32,14-18 ,292,759,1051
266,Colgate (Patriot) ,32,19-13 ,290,759,1049
267,SMU (AAC) ,31,16-15 ,346,702,1048
268,Alabama A&M (SWAC) ,31,3-28 ,335,711,1046
268,St. Francis Brooklyn (NEC) ,31,13-18 ,328,718,1046
270,New Orleans (Southland) ,30,15-15 ,348,696,1044
270,Boston U. (Patriot) ,31,15-16 ,301,743,1044
270,CSU Bakersfield (WAC) ,29,12-17 ,334,710,1044
270,Abilene Christian (Southland) ,31,16-15 ,287,757,1044
274,Omaha (Summit League) ,31,9-22 ,282,761,1043
275,UTEP (C-USA) ,31,11-20 ,217,825,1042
276,Akron (MAC) ,31,14-17 ,293,748,1041
276,Morehead St. (OVC) ,29,8-21 ,339,702,1041
278,Marist (MAAC) ,31,6-25 ,233,807,1040
279,High Point (Big South) ,30,14-16 ,324,715,1039
279,Miami (FL) (ACC) ,30,22-8 ,297,742,1039
281,Temple (AAC) ,30,16-14 ,319,718,1037
281,Oregon St. (Pac-12) ,30,15-15 ,310,727,1037
283,Northwestern St. (Southland) ,29,4-25 ,359,676,1035
284,South Fla. (AAC) ,31,10-21 ,300,734,1034
285,Tulane (AAC) ,30,14-16 ,284,747,1031
285,Southern Utah (Big Sky) ,30,12-18 ,260,771,1031
287,Manhattan (MAAC) ,31,14-17 ,319,711,1030
288,VMI (SoCon) ,30,9-21 ,286,743,1029
289,Yale (Ivy League) ,30,16-14 ,268,757,1025
289,Lafayette (Patriot) ,31,10-21 ,210,815,1025
291,SIUE (OVC) ,30,9-21 ,324,700,1024
291,Sacramento St. (Big Sky) ,32,7-25 ,268,756,1024
293,Washington (Pac-12) ,31,20-11 ,308,715,1023
293,Eastern Ky. (OVC) ,31,11-20 ,297,726,1023
295,San Diego (WCC) ,31,18-13 ,233,786,1019
296,William & Mary (CAA) ,31,19-12 ,209,808,1017
296,Saint Francis (PA) (NEC) ,30,18-12 ,267,750,1017
298,IUPUI (Horizon) ,30,11-19 ,347,669,1016
299,Portland (WCC) ,32,10-22 ,205,809,1014
299,Chicago St. (WAC) ,31,3-28 ,316,698,1014
299,Air Force (MWC) ,31,12-19 ,302,712,1014
302,Loyola Marymount (WCC) ,31,11-20 ,375,637,1012
303,Weber St. (Big Sky) ,30,20-10 ,173,837,1010
304,Presbyterian (Big South) ,32,11-21 ,291,718,1009
304,Harvard (Ivy League) ,29,17-12 ,254,755,1009
304,A&M-Corpus Christi (Southland) ,29,11-18 ,292,717,1009
307,Wisconsin (Big Ten) ,33,15-18 ,299,709,1008
307,Cal Poly (Big West) ,30,9-21 ,284,724,1008
309,Washington St. (Pac-12) ,31,12-19 ,258,749,1007
309,Pittsburgh (ACC) ,32,8-24 ,247,760,1007
311,LSU (SEC) ,30,17-13 ,289,717,1006
312,Marquette (Big East) ,31,19-12 ,281,724,1005
312,Southeast Mo. St. (OVC) ,31,14-17 ,273,732,1005
312,La.-Monroe (Sun Belt) ,30,16-14 ,276,729,1005
315,Campbell (Big South) ,31,16-15 ,217,787,1004
316,Bryant (NEC) ,31,3-28 ,312,688,1000
317,Charlotte (C-USA) ,29,6-23 ,270,720,990
318,Tennessee St. (OVC) ,30,15-15 ,261,727,988
319,Brown (Ivy League) ,27,11-16 ,310,677,987
319,Kennesaw St. (ASUN) ,30,10-20 ,307,680,987
321,Rhode Island (Atlantic 10) ,29,23-6 ,323,663,986
321,East Carolina (AAC) ,29,10-19 ,280,706,986
323,Western Ill. (Summit League) ,28,12-16 ,197,788,985
323,Utah (Pac-12) ,29,19-10 ,232,753,985
323,UMKC (WAC) ,31,10-21 ,249,736,985
326,Cal St. Fullerton (Big West) ,28,17-11 ,258,726,984
327,Virginia (ACC) ,30,28-2 ,250,728,978
327,Southern Miss. (C-USA) ,32,15-17 ,237,741,978
329,Incarnate Word (Southland) ,28,7-21 ,280,697,977
330,New Mexico (MWC) ,31,17-14 ,291,684,975
331,UC Davis (Big West) ,30,21-9 ,244,729,973
331,Samford (SoCon) ,32,10-22 ,264,709,973
333,UMass Lowell (America East) ,30,12-18 ,281,688,969
334,Davidson (Atlantic 10) ,29,18-11 ,206,761,967
335,Hawaii (Big West) ,29,17-12 ,261,704,965
336,Columbia (Ivy League) ,27,8-19 ,277,685,962
336,Idaho St. (Big Sky) ,30,14-16 ,204,758,962
338,North Dakota (Big Sky) ,31,12-19 ,221,737,958
339,Ark.-Pine Bluff (SWAC) ,32,13-20 ,258,693,951
340,Kansas St. (Big 12) ,31,21-10 ,259,687,946
341,Princeton (Ivy League) ,29,13-16 ,220,725,945
342,CSUN (Big West) ,30,6-24 ,247,693,940
343,Cornell (Ivy League) ,27,12-15 ,228,708,936
344,Dayton (Atlantic 10) ,30,14-16 ,230,701,931
345,Mt. St. Mary's (NEC) ,32,18-14 ,214,704,918
346,Richmond (Atlantic 10) ,30,11-19 ,233,675,908
347,Santa Clara (WCC) ,31,11-20 ,243,646,889
348,Fordham (Atlantic 10) ,31,9-22 ,199,685,884
349,Holy Cross (Patriot) ,31,12-19 ,178,702,880
350,American (Patriot) ,30,6-24 ,242,627,869
351,Dartmouth (Ivy League) ,27,7-20 ,208,639,847
