Rank,Team,GM,W-L,FTM,FTA,FT%
211,Indiana St. (MVC) ,31,13-18 ,454,644,70.5
212,Minnesota (Big Ten) ,32,15-17 ,487,692,70.4
213,Georgia (SEC) ,31,17-14 ,486,691,70.3
214,Ball St. (MAC) ,31,19-12 ,438,623,70.3
215,UC Riverside (Big West) ,30,9-21 ,393,559,70.3
216,Cleveland St. (Horizon) ,35,12-23 ,402,572,70.3
217,Western Ky. (C-USA) ,31,22-9 ,508,723,70.3
217,SFA (Southland) ,31,25-6 ,508,723,70.3
219,UNLV (MWC) ,32,20-12 ,595,847,70.2
220,High Point (Big South) ,30,14-16 ,413,588,70.2
221,South Carolina (SEC) ,32,17-15 ,551,785,70.2
222,Northern Colo. (Big Sky) ,32,21-11 ,454,647,70.2
223,Washington (Pac-12) ,31,20-11 ,468,667,70.2
224,Northern Ariz. (Big Sky) ,32,5-27 ,526,750,70.1
225,UNCG (SoCon) ,34,27-7 ,378,539,70.1
226,Pepperdine (WCC) ,32,6-26 ,453,646,70.1
227,Bethune-Cookman (MEAC) ,32,18-14 ,575,820,70.1
228,Morehead St. (OVC) ,29,8-21 ,415,592,70.1
229,South Ala. (Sun Belt) ,32,14-18 ,472,674,70
230,Iowa St. (Big 12) ,31,13-18 ,390,557,70
231,Utah St. (MWC) ,32,16-16 ,415,593,70
232,Southern Miss. (C-USA) ,32,15-17 ,380,543,70
233,NC State (ACC) ,32,21-11 ,473,676,70
234,Abilene Christian (Southland) ,31,16-15 ,403,576,70
235,Providence (Big East) ,31,19-12 ,496,709,70
236,Akron (MAC) ,31,14-17 ,398,569,69.9
237,Wisconsin (Big Ten) ,33,15-18 ,404,578,69.9
238,Central Conn. St. (NEC) ,32,14-18 ,397,568,69.9
239,Kansas (Big 12) ,31,24-7 ,350,501,69.9
240,Grand Canyon (WAC) ,30,20-10 ,488,699,69.8
241,UC Irvine (Big West) ,32,16-16 ,379,543,69.8
242,UC Santa Barbara (Big West) ,30,22-8 ,392,562,69.8
243,South Carolina St. (MEAC) ,32,10-22 ,492,706,69.7
244,Southern Ill. (MVC) ,33,20-13 ,415,596,69.6
245,Penn St. (Big Ten) ,34,21-13 ,435,625,69.6
246,LIU Brooklyn (NEC) ,34,18-16 ,531,763,69.6
247,VCU (Atlantic 10) ,31,17-14 ,366,526,69.6
248,Savannah St. (MEAC) ,31,15-16 ,471,677,69.6
249,Portland St. (Big Sky) ,32,20-12 ,493,709,69.5
250,Iowa (Big Ten) ,33,14-19 ,486,699,69.5
251,CSU Bakersfield (WAC) ,29,12-17 ,394,567,69.5
252,Pittsburgh (ACC) ,32,8-24 ,371,534,69.5
253,Fresno St. (MWC) ,31,21-10 ,464,668,69.5
254,Kentucky (SEC) ,31,21-10 ,539,776,69.5
255,Denver (Summit League) ,30,15-15 ,375,540,69.4
256,Manhattan (MAAC) ,31,14-17 ,434,625,69.4
257,Cincinnati (AAC) ,31,27-4 ,460,663,69.4
258,Delaware St. (MEAC) ,32,4-28 ,358,516,69.4
259,Jacksonville St. (OVC) ,33,21-12 ,410,591,69.4
260,Buffalo (MAC) ,31,23-8 ,428,617,69.4
261,Old Dominion (C-USA) ,30,24-6 ,405,584,69.3
262,Memphis (AAC) ,31,19-12 ,509,734,69.3
263,San Jose St. (MWC) ,30,4-26 ,386,559,69.1
264,Holy Cross (Patriot) ,31,12-19 ,321,465,69
265,Kennesaw St. (ASUN) ,30,10-20 ,412,597,69
266,Seton Hall (Big East) ,31,21-10 ,452,655,69
267,UNCW (CAA) ,32,11-21 ,458,664,69
268,Maine (America East) ,32,6-26 ,385,559,68.9
269,Stanford (Pac-12) ,31,17-14 ,507,737,68.8
270,Hawaii (Big West) ,29,17-12 ,451,656,68.8
271,N.C. Central (MEAC) ,31,16-15 ,376,547,68.7
272,Eastern Mich. (MAC) ,31,20-11 ,382,556,68.7
273,Miami (OH) (MAC) ,32,16-16 ,360,524,68.7
274,Longwood (Big South) ,33,7-26 ,406,591,68.7
275,Towson (CAA) ,32,18-14 ,458,667,68.7
276,UTSA (C-USA) ,32,19-13 ,403,587,68.7
277,Presbyterian (Big South) ,32,11-21 ,350,510,68.6
278,Mississippi St. (SEC) ,31,21-10 ,387,565,68.5
279,Oral Roberts (Summit League) ,32,11-21 ,354,517,68.5
280,San Francisco (WCC) ,33,18-15 ,380,555,68.5
281,Florida St. (ACC) ,31,20-11 ,473,691,68.5
282,Eastern Ill. (OVC) ,31,12-19 ,377,551,68.4
283,Sacramento St. (Big Sky) ,32,7-25 ,355,519,68.4
284,Saint Joseph's (Atlantic 10) ,30,15-15 ,435,636,68.4
285,NJIT (ASUN) ,30,14-16 ,396,579,68.4
286,Duquesne (Atlantic 10) ,31,16-15 ,439,642,68.4
287,Western Caro. (SoCon) ,32,13-19 ,408,597,68.3
288,Southern U. (SWAC) ,32,15-17 ,518,758,68.3
289,New Orleans (Southland) ,30,15-15 ,465,681,68.3
290,Illinois St. (MVC) ,33,18-15 ,437,640,68.3
291,Hofstra (CAA) ,31,19-12 ,468,686,68.2
292,Temple (AAC) ,30,16-14 ,303,445,68.1
293,SMU (AAC) ,31,16-15 ,364,535,68
294,Tennessee Tech (OVC) ,33,19-14 ,483,710,68
295,Norfolk St. (MEAC) ,32,14-18 ,425,626,67.9
296,California (Pac-12) ,31,8-23 ,473,697,67.9
297,Idaho St. (Big Sky) ,30,14-16 ,403,594,67.8
298,Siena (MAAC) ,32,8-24 ,442,652,67.8
299,Portland (WCC) ,32,10-22 ,404,596,67.8
300,UT Arlington (Sun Belt) ,31,19-12 ,441,652,67.6
301,Hartford (America East) ,32,19-13 ,375,555,67.6
302,UMES (MEAC) ,32,7-25 ,366,542,67.5
303,Mississippi Val. (SWAC) ,32,4-28 ,388,575,67.5
304,Milwaukee (Horizon) ,33,16-17 ,356,528,67.4
305,Prairie View (SWAC) ,33,16-17 ,514,764,67.3
306,Stetson (ASUN) ,32,12-20 ,348,518,67.2
307,Arkansas (SEC) ,31,21-10 ,463,691,67
308,Alabama (SEC) ,31,17-14 ,480,717,66.9
309,Ark.-Pine Bluff (SWAC) ,32,13-20 ,407,608,66.9
310,Rice (C-USA) ,31,7-24 ,432,646,66.9
311,UTEP (C-USA) ,31,11-20 ,362,542,66.8
312,Georgia St. (Sun Belt) ,31,21-10 ,370,554,66.8
313,Robert Morris (NEC) ,33,16-17 ,442,663,66.7
314,Miami (FL) (ACC) ,30,22-8 ,347,521,66.6
315,East Carolina (AAC) ,29,10-19 ,321,482,66.6
316,IUPUI (Horizon) ,30,11-19 ,372,559,66.5
317,Appalachian St. (Sun Belt) ,32,15-17 ,481,723,66.5
318,Texas (Big 12) ,32,19-13 ,419,630,66.5
319,American (Patriot) ,30,6-24 ,326,491,66.4
320,Texas A&M (SEC) ,31,20-11 ,399,601,66.4
321,Sacred Heart (NEC) ,31,10-21 ,358,540,66.3
322,Texas St. (Sun Belt) ,32,15-17 ,419,633,66.2
323,Lamar University (Southland) ,32,19-13 ,488,739,66
324,Ga. Southern (Sun Belt) ,31,20-11 ,484,734,65.9
325,Michigan (Big Ten) ,35,28-7 ,400,607,65.9
326,Army West Point (Patriot) ,30,13-17 ,295,448,65.8
327,Jacksonville (ASUN) ,33,15-18 ,409,622,65.8
328,Indiana (Big Ten) ,31,16-15 ,423,644,65.7
329,Stony Brook (America East) ,32,13-19 ,398,606,65.7
330,Penn (Ivy League) ,30,22-8 ,397,605,65.6
331,Jackson St. (SWAC) ,31,12-20 ,318,485,65.6
332,Austin Peay (OVC) ,32,18-14 ,454,694,65.4
333,Loyola Maryland (Patriot) ,31,9-22 ,397,608,65.3
334,Delaware (CAA) ,33,14-19 ,428,657,65.1
335,UMBC (America East) ,33,23-10 ,390,599,65.1
336,Saint Louis (Atlantic 10) ,31,16-15 ,492,756,65.1
337,Southeastern La. (Southland) ,31,21-10 ,412,636,64.8
338,Alabama A&M (SWAC) ,31,3-28 ,345,533,64.7
339,Alabama St. (SWAC) ,31,8-23 ,418,647,64.6
340,North Texas (C-USA) ,32,15-17 ,403,624,64.6
341,UCF (AAC) ,30,18-12 ,419,649,64.6
342,Rutgers (Big Ten) ,34,15-19 ,409,635,64.4
343,Binghamton (America East) ,31,11-20 ,338,528,64
344,Boston U. (Patriot) ,31,15-16 ,357,559,63.9
345,Youngstown St. (Horizon) ,32,8-24 ,371,583,63.6
345,New Mexico St. (WAC) ,30,25-5 ,322,506,63.6
347,Houston Baptist (Southland) ,31,6-25 ,443,710,62.4
348,Northwestern St. (Southland) ,29,4-25 ,359,588,61.1
349,Little Rock (Sun Belt) ,32,7-25 ,338,554,61
350,FIU (C-USA) ,32,14-18 ,429,704,60.9
351,Rider (MAAC) ,31,22-9 ,503,828,60.7
