Rank,Team,GM,W-L,3FG,3FGA,3FG%
299,Kent St. (MAC) ,32,16-16 ,240,736,32.6
300,Holy Cross (Patriot) ,31,12-19 ,203,623,32.6
301,Delaware St. (MEAC) ,32,4-28 ,192,591,32.5
302,Fla. Atlantic (C-USA) ,31,12-19 ,179,551,32.5
303,Drexel (CAA) ,33,13-20 ,227,699,32.5
304,New Hampshire (America East) ,31,10-21 ,252,776,32.5
305,Pittsburgh (ACC) ,32,8-24 ,258,795,32.5
306,Jackson St. (SWAC) ,31,12-20 ,229,706,32.4
307,SIUE (OVC) ,30,9-21 ,212,654,32.4
308,UCF (AAC) ,30,18-12 ,162,500,32.4
309,South Ala. (Sun Belt) ,32,14-18 ,252,779,32.3
310,Houston Baptist (Southland) ,31,6-25 ,219,677,32.3
311,Morehead St. (OVC) ,29,8-21 ,204,631,32.3
312,UT Martin (OVC) ,31,10-21 ,210,650,32.3
313,Alabama (SEC) ,31,17-14 ,197,610,32.3
314,Indiana (Big Ten) ,31,16-15 ,194,602,32.2
315,George Washington (Atlantic 10) ,32,15-17 ,176,547,32.2
316,FIU (C-USA) ,32,14-18 ,203,631,32.2
317,Syracuse (ACC) ,33,20-13 ,193,600,32.2
318,Georgia (SEC) ,31,17-14 ,188,585,32.1
319,Little Rock (Sun Belt) ,32,7-25 ,200,623,32.1
320,Loyola Maryland (Patriot) ,31,9-22 ,163,509,32
321,VMI (SoCon) ,30,9-21 ,225,704,32
322,New Mexico St. (WAC) ,30,25-5 ,217,679,32
323,Ole Miss (SEC) ,32,12-20 ,251,788,31.9
324,Georgia Tech (ACC) ,32,13-19 ,156,490,31.8
325,Rice (C-USA) ,31,7-24 ,260,818,31.8
326,Bethune-Cookman (MEAC) ,32,18-14 ,241,759,31.8
327,Hampton (MEAC) ,32,18-14 ,181,572,31.6
328,Brown (Ivy League) ,27,11-16 ,186,588,31.6
329,Saint Louis (Atlantic 10) ,31,16-15 ,168,532,31.6
330,Texas (Big 12) ,32,19-13 ,227,724,31.4
331,Chicago St. (WAC) ,31,3-28 ,166,532,31.2
332,UTRGV (WAC) ,31,15-16 ,196,630,31.1
333,UC Riverside (Big West) ,30,9-21 ,179,576,31.1
334,DePaul (Big East) ,31,11-20 ,194,626,31
335,Memphis (AAC) ,31,19-12 ,179,579,30.9
336,Mississippi St. (SEC) ,31,21-10 ,211,688,30.7
337,Coppin St. (MEAC) ,32,5-27 ,265,869,30.5
338,Northern Ariz. (Big Sky) ,32,5-27 ,178,584,30.5
339,Alabama A&M (SWAC) ,31,3-28 ,182,601,30.3
340,Maine (America East) ,32,6-26 ,225,745,30.2
341,East Carolina (AAC) ,29,10-19 ,176,583,30.2
342,Savannah St. (MEAC) ,31,15-16 ,383,1272,30.1
343,Mississippi Val. (SWAC) ,32,4-28 ,171,568,30.1
344,CSU Bakersfield (WAC) ,29,12-17 ,177,591,29.9
345,Sacred Heart (NEC) ,31,10-21 ,179,599,29.9
346,N.C. A&T (MEAC) ,32,19-13 ,192,651,29.5
347,Rutgers (Big Ten) ,34,15-19 ,145,500,29
348,Fordham (Atlantic 10) ,31,9-22 ,227,787,28.8
349,California (Pac-12) ,31,8-23 ,141,493,28.6
350,UMES (MEAC) ,32,7-25 ,206,725,28.4
351,Northwestern St. (Southland) ,29,4-25 ,125,448,27.9
