Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
165,Miami (OH) (MAC) ,32,16-16 ,2293,71.7,2236,69.9,1.8
167,NJIT (ASUN) ,30,14-16 ,2248,74.9,2197,73.2,1.7
168,Austin Peay (OVC) ,32,18-14 ,2351,73.5,2297,71.8,1.7
169,Western Mich. (MAC) ,32,17-15 ,2402,75.1,2349,73.4,1.7
170,Ball St. (MAC) ,31,19-12 ,2337,75.4,2286,73.7,1.6
170,Indiana (Big Ten) ,31,16-15 ,2229,71.9,2178,70.3,1.6
172,Yale (Ivy League) ,30,16-14 ,2255,75.2,2208,73.6,1.6
173,UCF (AAC) ,30,18-12 ,1885,62.8,1839,61.3,1.5
174,Evansville (MVC) ,32,17-15 ,2094,65.4,2045,63.9,1.5
175,Harvard (Ivy League) ,29,17-12 ,1983,68.4,1939,66.9,1.5
176,Saint Joseph's (Atlantic 10) ,30,15-15 ,2216,73.9,2172,72.4,1.5
177,Wyoming (MWC) ,32,20-12 ,2558,79.9,2512,78.5,1.4
177,North Texas (C-USA) ,32,15-17 ,2333,72.9,2287,71.5,1.4
179,Texas St. (Sun Belt) ,32,15-17 ,2136,66.8,2092,65.4,1.4
180,St. John's (NY) (Big East) ,32,16-16 ,2352,73.5,2309,72.2,1.3
181,VCU (Atlantic 10) ,31,17-14 ,2363,76.2,2322,74.9,1.3
182,South Carolina (SEC) ,32,17-15 ,2249,70.3,2208,69,1.3
183,Providence (Big East) ,31,19-12 ,2293,74,2255,72.7,1.2
184,Hawaii (Big West) ,29,17-12 ,2037,70.2,2003,69.1,1.2
185,N.C. A&T (MEAC) ,32,19-13 ,2415,75.5,2380,74.4,1.1
185,Utah St. (MWC) ,32,16-16 ,2343,73.2,2308,72.1,1.1
187,Iowa (Big Ten) ,33,14-19 ,2630,79.7,2597,78.7,1
