Rank,Team,GM,W-L,Orebs,RPG
239,Tulane (AAC) ,30,14-16 ,284,9.47
239,Cal Poly (Big West) ,30,9-21 ,284,9.47
241,North Florida (ASUN) ,33,14-19 ,312,9.45
242,Akron (MAC) ,31,14-17 ,293,9.45
243,South Ala. (Sun Belt) ,32,14-18 ,301,9.41
244,New Mexico (MWC) ,31,17-14 ,291,9.39
244,Butler (Big East) ,31,19-12 ,291,9.39
246,Nevada (MWC) ,32,26-6 ,300,9.38
246,Gardner-Webb (Big South) ,32,14-18 ,300,9.38
248,UMass Lowell (America East) ,30,12-18 ,281,9.37
249,Bucknell (Patriot) ,34,25-9 ,318,9.35
250,Charlotte (C-USA) ,29,6-23 ,270,9.31
251,Chattanooga (SoCon) ,33,10-23 ,307,9.3
252,Abilene Christian (Southland) ,31,16-15 ,287,9.26
253,San Jose St. (MWC) ,30,4-26 ,277,9.23
254,Fresno St. (MWC) ,31,21-10 ,286,9.23
254,Toledo (MAC) ,31,21-10 ,286,9.23
256,Cal St. Fullerton (Big West) ,28,17-11 ,258,9.21
257,La.-Monroe (Sun Belt) ,30,16-14 ,276,9.2
258,Massachusetts (Atlantic 10) ,32,13-19 ,294,9.19
258,Valparaiso (MVC) ,32,15-17 ,294,9.19
260,Stetson (ASUN) ,32,12-20 ,293,9.16
260,La Salle (Atlantic 10) ,32,13-19 ,293,9.16
262,Binghamton (America East) ,31,11-20 ,283,9.13
262,Winthrop (Big South) ,31,19-12 ,283,9.13
264,Saint Peter's (MAAC) ,32,14-18 ,292,9.13
265,Saint Joseph's (Atlantic 10) ,30,15-15 ,273,9.1
266,Omaha (Summit League) ,31,9-22 ,282,9.1
266,Villanova (Big East) ,31,27-4 ,282,9.1
268,Presbyterian (Big South) ,32,11-21 ,291,9.09
269,Marquette (Big East) ,31,19-12 ,281,9.06
270,Colgate (Patriot) ,32,19-13 ,290,9.06
271,Wisconsin (Big Ten) ,33,15-18 ,299,9.06
271,Fairfield (MAAC) ,33,17-16 ,299,9.06
273,Hawaii (Big West) ,29,17-12 ,261,9
274,Georgia St. (Sun Belt) ,31,21-10 ,278,8.97
275,Lehigh (Patriot) ,30,16-14 ,269,8.97
276,Yale (Ivy League) ,30,16-14 ,268,8.93
276,Clemson (ACC) ,30,22-8 ,268,8.93
276,Penn (Ivy League) ,30,22-8 ,268,8.93
279,Monmouth (MAAC) ,31,11-20 ,276,8.9
280,Saint Francis (PA) (NEC) ,30,18-12 ,267,8.9
281,South Dakota St. (Summit League) ,34,28-6 ,302,8.88
282,Utah St. (MWC) ,32,16-16 ,283,8.84
282,St. John's (NY) (Big East) ,32,16-16 ,283,8.84
284,Milwaukee (Horizon) ,33,16-17 ,291,8.82
285,Southeast Mo. St. (OVC) ,31,14-17 ,273,8.81
286,Harvard (Ivy League) ,29,17-12 ,254,8.76
287,Tennessee St. (OVC) ,30,15-15 ,261,8.7
288,Southern Utah (Big Sky) ,30,12-18 ,260,8.67
289,Michigan (Big Ten) ,35,28-7 ,300,8.57
290,Coppin St. (MEAC) ,32,5-27 ,273,8.53
291,Southern Ill. (MVC) ,33,20-13 ,281,8.52
291,Iona (MAAC) ,33,20-13 ,281,8.52
293,Col. of Charleston (CAA) ,33,26-7 ,280,8.48
294,Hartford (America East) ,32,19-13 ,271,8.47
295,Cornell (Ivy League) ,27,12-15 ,228,8.44
296,Purdue (Big Ten) ,34,28-6 ,287,8.44
297,Sacramento St. (Big Sky) ,32,7-25 ,268,8.38
298,Ohio (MAC) ,31,14-17 ,259,8.35
298,Kansas St. (Big 12) ,31,21-10 ,259,8.35
300,UNI (MVC) ,32,16-16 ,267,8.34
301,Virginia (ACC) ,30,28-2 ,250,8.33
302,Washington St. (Pac-12) ,31,12-19 ,258,8.32
303,Samford (SoCon) ,32,10-22 ,264,8.25
304,CSUN (Big West) ,30,6-24 ,247,8.23
305,UNC Asheville (Big South) ,33,21-12 ,270,8.18
306,UC Davis (Big West) ,30,21-9 ,244,8.13
307,American (Patriot) ,30,6-24 ,242,8.07
308,Drake (MVC) ,32,16-16 ,258,8.06
308,Elon (CAA) ,32,14-18 ,258,8.06
308,Ark.-Pine Bluff (SWAC) ,32,13-20 ,258,8.06
311,UMKC (WAC) ,31,10-21 ,249,8.03
312,Utah (Pac-12) ,29,19-10 ,232,8
313,Wofford (SoCon) ,33,21-12 ,263,7.97
314,Marshall (C-USA) ,31,21-10 ,247,7.97
315,Longwood (Big South) ,33,7-26 ,262,7.94
316,Saint Mary's (CA) (WCC) ,33,28-5 ,261,7.91
317,Vermont (America East) ,33,27-6 ,260,7.88
318,Santa Clara (WCC) ,31,11-20 ,243,7.84
319,Belmont (OVC) ,33,24-9 ,258,7.82
319,Northeastern (CAA) ,33,23-10 ,258,7.82
321,Richmond (Atlantic 10) ,30,11-19 ,233,7.77
322,Evansville (MVC) ,32,17-15 ,247,7.72
322,Pittsburgh (ACC) ,32,8-24 ,247,7.72
324,Cleveland St. (Horizon) ,35,12-23 ,270,7.71
325,Dartmouth (Ivy League) ,27,7-20 ,208,7.7
326,Dayton (Atlantic 10) ,30,14-16 ,230,7.67
327,Princeton (Ivy League) ,29,13-16 ,220,7.59
328,Eastern Wash. (Big Sky) ,31,18-13 ,233,7.52
328,Marist (MAAC) ,31,6-25 ,233,7.52
328,San Diego (WCC) ,31,18-13 ,233,7.52
331,Southern Miss. (C-USA) ,32,15-17 ,237,7.41
332,Virginia Tech (ACC) ,32,21-11 ,236,7.38
333,Liberty (Big South) ,34,20-14 ,248,7.29
334,Creighton (Big East) ,31,21-10 ,225,7.26
335,North Dakota St. (Summit League) ,32,15-17 ,232,7.25
336,North Dakota (Big Sky) ,31,12-19 ,221,7.13
337,Davidson (Atlantic 10) ,29,18-11 ,206,7.1
338,Western Ill. (Summit League) ,28,12-16 ,197,7.04
339,Wyoming (MWC) ,32,20-12 ,224,7
339,Campbell (Big South) ,31,16-15 ,217,7
339,UTEP (C-USA) ,31,11-20 ,217,7
342,BYU (WCC) ,34,24-10 ,232,6.82
343,Idaho St. (Big Sky) ,30,14-16 ,204,6.8
344,Lafayette (Patriot) ,31,10-21 ,210,6.77
345,William & Mary (CAA) ,31,19-12 ,209,6.74
346,Mt. St. Mary's (NEC) ,32,18-14 ,214,6.69
347,Fordham (Atlantic 10) ,31,9-22 ,199,6.42
348,Portland (WCC) ,32,10-22 ,205,6.41
349,Loyola Chicago (MVC) ,33,28-5 ,209,6.33
350,Weber St. (Big Sky) ,30,20-10 ,173,5.77
351,Holy Cross (Patriot) ,31,12-19 ,178,5.74
