Rank,Team,GM,W-L,ST
314,Vanderbilt (SEC) ,32,12-20 ,154
316,Missouri St. (MVC) ,33,18-15 ,153
316,Siena (MAAC) ,32,8-24 ,153
318,Dartmouth (Ivy League) ,27,7-20 ,152
319,UC Santa Barbara (Big West) ,31,23-8 ,151
319,UMES (MEAC) ,32,7-25 ,151
321,Albany (NY) (America East) ,32,22-10 ,150
322,CSUN (Big West) ,30,6-24 ,149
322,Iowa St. (Big 12) ,31,13-18 ,149
322,Sacred Heart (NEC) ,31,10-21 ,149
325,East Carolina (AAC) ,30,10-20 ,148
326,McNeese (Southland) ,28,11-17 ,146
327,North Dakota St. (Summit League) ,32,15-17 ,145
328,SIUE (OVC) ,30,9-21 ,144
329,Saint Mary's (CA) (WCC) ,33,28-5 ,143
330,Davidson (Atlantic 10) ,29,18-11 ,141
331,Cornell (Ivy League) ,27,12-15 ,140
331,Colorado (Pac-12) ,32,17-15 ,140
331,Wichita St. (AAC) ,30,24-6 ,140
331,Elon (CAA) ,32,14-18 ,140
335,Maryland (Big Ten) ,32,19-13 ,138
335,Pittsburgh (ACC) ,32,8-24 ,138
337,Princeton (Ivy League) ,29,13-16 ,137
338,Western Ill. (Summit League) ,28,12-16 ,136
339,San Jose St. (MWC) ,30,4-26 ,135
339,Idaho (Big Sky) ,31,22-9 ,135
339,Michigan St. (Big Ten) ,33,29-4 ,135
342,Tulsa (AAC) ,30,19-11 ,132
343,Lafayette (Patriot) ,31,10-21 ,131
344,Marist (MAAC) ,31,6-25 ,130
345,Denver (Summit League) ,30,15-15 ,129
345,UTEP (C-USA) ,31,11-20 ,129
347,Vermont (America East) ,33,27-6 ,128
348,Georgia (SEC) ,32,18-14 ,123
348,Alabama A&M (SWAC) ,31,3-28 ,123
350,Toledo (MAC) ,32,22-10 ,118
351,New Hampshire (America East) ,31,10-21 ,111
