Rank,Name,GM,W-L,Drebs,RPG
247,UC Davis (Big West) ,30,21-9 ,729,24.3
248,Detroit Mercy (Horizon) ,32,8-24 ,777,24.28
249,Hawaii (Big West) ,29,17-12 ,704,24.28
250,Virginia (ACC) ,30,28-2 ,728,24.27
251,Tennessee St. (OVC) ,30,15-15 ,727,24.23
251,Oregon St. (Pac-12) ,30,15-15 ,727,24.23
253,Western Mich. (MAC) ,32,17-15 ,775,24.22
254,La.-Monroe (Sun Belt) ,29,15-14 ,702,24.21
254,Morehead St. (OVC) ,29,8-21 ,702,24.21
256,Southern Ill. (MVC) ,33,20-13 ,798,24.18
257,Cal Poly (Big West) ,30,9-21 ,724,24.13
258,Akron (MAC) ,31,14-17 ,748,24.13
259,Washington St. (Pac-12) ,30,12-18 ,723,24.1
