Rank,Team,GM,W-L,AST
221,Virginia (ACC) ,30,28-2 ,409
225,Eastern Wash. (Big Sky) ,31,18-13 ,408
225,Hawaii (Big West) ,29,17-12 ,408
227,Memphis (AAC) ,31,19-12 ,407
227,Howard (MEAC) ,33,10-23 ,407
227,Ill.-Chicago (Horizon) ,32,17-15 ,407
230,Western Mich. (MAC) ,32,17-15 ,406
231,Omaha (Summit League) ,31,9-22 ,405
231,Eastern Ky. (OVC) ,31,11-20 ,405
231,Albany (NY) (America East) ,32,22-10 ,405
234,Appalachian St. (Sun Belt) ,32,15-17 ,404
234,Akron (MAC) ,31,14-17 ,404
234,Quinnipiac (MAAC) ,33,12-21 ,404
234,Santa Clara (WCC) ,31,11-20 ,404
234,Saint Francis (PA) (NEC) ,30,18-12 ,404
239,Eastern Mich. (MAC) ,31,20-11 ,403
240,Miami (FL) (ACC) ,30,22-8 ,402
240,Florida (SEC) ,31,20-11 ,402
242,Boise St. (MWC) ,30,23-7 ,401
242,Montana St. (Big Sky) ,32,13-19 ,401
242,Sacred Heart (NEC) ,31,10-21 ,401
245,UC Irvine (Big West) ,32,16-16 ,400
245,Clemson (ACC) ,30,22-8 ,400
247,Valparaiso (MVC) ,32,15-17 ,399
247,North Dakota (Big Sky) ,31,12-19 ,399
247,Monmouth (MAAC) ,31,11-20 ,399
247,Colorado (Pac-12) ,31,17-14 ,399
251,South Ala. (Sun Belt) ,32,14-18 ,398
251,Pittsburgh (ACC) ,32,8-24 ,398
253,Central Conn. St. (NEC) ,32,14-18 ,397
254,North Texas (C-USA) ,32,15-17 ,396
254,Alabama (SEC) ,31,17-14 ,396
256,Pacific (WCC) ,32,14-18 ,395
257,Ark.-Pine Bluff (SWAC) ,32,13-20 ,394
258,Vanderbilt (SEC) ,32,12-20 ,392
258,Eastern Ill. (OVC) ,31,12-19 ,392
260,Georgia (SEC) ,31,17-14 ,391
260,Little Rock (Sun Belt) ,32,7-25 ,391
262,Montana (Big Sky) ,30,23-7 ,390
262,UT Martin (OVC) ,31,10-21 ,390
264,James Madison (CAA) ,32,10-22 ,388
265,Portland (WCC) ,32,10-22 ,387
266,Lafayette (Patriot) ,31,10-21 ,386
266,Niagara (MAAC) ,32,19-13 ,386
266,Delaware (CAA) ,33,14-19 ,386
269,IUPUI (Horizon) ,30,11-19 ,385
269,Tulsa (AAC) ,30,19-11 ,385
269,San Jose St. (MWC) ,30,4-26 ,385
272,Columbia (Ivy League) ,27,8-19 ,384
273,Robert Morris (NEC) ,33,16-17 ,382
274,Towson (CAA) ,32,18-14 ,381
274,Temple (AAC) ,30,16-14 ,381
276,East Carolina (AAC) ,29,10-19 ,380
276,Texas Southern (SWAC) ,32,13-19 ,380
276,Drexel (CAA) ,33,13-20 ,380
279,Northern Colo. (Big Sky) ,32,21-11 ,379
280,Rice (C-USA) ,31,7-24 ,378
280,Saint Peter's (MAAC) ,32,14-18 ,378
280,UC Riverside (Big West) ,30,9-21 ,378
280,FIU (C-USA) ,32,14-18 ,378
280,Maine (America East) ,32,6-26 ,378
285,Harvard (Ivy League) ,29,17-12 ,377
285,Col. of Charleston (CAA) ,33,26-7 ,377
287,Binghamton (America East) ,31,11-20 ,376
287,Kent St. (MAC) ,32,16-16 ,376
287,Fla. Atlantic (C-USA) ,31,12-19 ,376
290,CSU Bakersfield (WAC) ,29,12-17 ,375
291,Morgan St. (MEAC) ,31,13-18 ,374
291,Saint Louis (Atlantic 10) ,31,16-15 ,374
293,SIUE (OVC) ,30,9-21 ,373
293,UC Davis (Big West) ,30,21-9 ,373
293,Texas (Big 12) ,32,19-13 ,373
296,Duquesne (Atlantic 10) ,31,16-15 ,372
297,Florida A&M (MEAC) ,34,9-25 ,370
298,Marist (MAAC) ,31,6-25 ,369
299,Presbyterian (Big South) ,32,11-21 ,368
299,New Hampshire (America East) ,31,10-21 ,368
299,Charleston So. (Big South) ,31,15-16 ,368
302,Princeton (Ivy League) ,29,13-16 ,367
302,American (Patriot) ,30,6-24 ,367
302,South Fla. (AAC) ,31,10-21 ,367
305,CSUN (Big West) ,30,6-24 ,366
306,Chicago St. (WAC) ,31,3-28 ,364
307,Southern U. (SWAC) ,32,15-17 ,363
308,Syracuse (ACC) ,33,20-13 ,362
308,Washington (Pac-12) ,31,20-11 ,362
308,George Mason (Atlantic 10) ,31,15-16 ,362
311,Cal Poly (Big West) ,30,9-21 ,361
312,Loyola Maryland (Patriot) ,31,9-22 ,360
312,Indiana St. (MVC) ,31,13-18 ,360
314,Dartmouth (Ivy League) ,27,7-20 ,359
315,Cal St. Fullerton (Big West) ,28,17-11 ,357
315,St. Francis Brooklyn (NEC) ,31,13-18 ,357
317,VMI (SoCon) ,30,9-21 ,356
318,Siena (MAAC) ,32,8-24 ,355
319,Idaho St. (Big Sky) ,30,14-16 ,354
320,High Point (Big South) ,30,14-16 ,353
321,Southern Utah (Big Sky) ,30,12-18 ,352
321,South Carolina St. (MEAC) ,32,10-22 ,352
323,Delaware St. (MEAC) ,32,4-28 ,348
324,UMKC (WAC) ,31,10-21 ,347
324,UMES (MEAC) ,32,7-25 ,347
326,Arkansas St. (Sun Belt) ,32,11-21 ,346
327,UNI (MVC) ,32,16-16 ,345
328,Morehead St. (OVC) ,29,8-21 ,344
329,Grambling (SWAC) ,31,17-14 ,342
330,Alabama A&M (SWAC) ,31,3-28 ,340
331,Brown (Ivy League) ,27,11-16 ,338
331,Coppin St. (MEAC) ,32,5-27 ,338
331,Jackson St. (SWAC) ,31,12-20 ,338
334,Rutgers (Big Ten) ,34,15-19 ,333
335,UTEP (C-USA) ,31,11-20 ,328
336,Mississippi Val. (SWAC) ,32,4-28 ,327
336,Longwood (Big South) ,33,7-26 ,327
338,Tennessee St. (OVC) ,30,15-15 ,326
339,A&M-Corpus Christi (Southland) ,29,11-18 ,323
339,UConn (AAC) ,31,14-17 ,323
339,UCF (AAC) ,30,18-12 ,323
342,Charlotte (C-USA) ,29,6-23 ,319
343,Ga. Southern (Sun Belt) ,31,20-11 ,316
344,Northern Ariz. (Big Sky) ,32,5-27 ,314
345,Alabama St. (SWAC) ,31,8-23 ,313
346,Incarnate Word (Southland) ,28,7-21 ,311
347,California (Pac-12) ,31,8-23 ,310
348,Western Ill. (Summit League) ,28,12-16 ,308
349,McNeese (Southland) ,28,11-17 ,306
350,Northern Ill. (MAC) ,32,13-19 ,296
351,Northwestern St. (Southland) ,29,4-25 ,279
