Rank,Team,GM,W-L,3FG,3FGA
230,Saint Mary's (CA) (WCC) ,33,28-5 ,255,631
234,UTRGV (WAC) ,31,15-16 ,196,630
234,Minnesota (Big Ten) ,32,15-17 ,218,630
236,UC Santa Barbara (Big West) ,30,22-8 ,240,629
237,Vermont (America East) ,33,27-6 ,253,628
238,Eastern Ill. (OVC) ,31,12-19 ,224,627
239,Abilene Christian (Southland) ,31,16-15 ,207,625
240,Texas A&M (SEC) ,31,20-11 ,205,624
241,Fairleigh Dickinson (NEC) ,31,13-18 ,213,623
241,Valparaiso (MVC) ,32,15-17 ,213,623
241,Holy Cross (Patriot) ,31,12-19 ,203,623
244,Navy (Patriot) ,32,20-12 ,206,622
244,Ark.-Pine Bluff (SWAC) ,32,13-20 ,206,622
244,Cornell (Ivy League) ,27,12-15 ,211,622
244,BYU (WCC) ,34,24-10 ,219,622
244,Seton Hall (Big East) ,31,21-10 ,224,622
249,UMass Lowell (America East) ,30,12-18 ,215,621
250,Loyola Chicago (MVC) ,33,28-5 ,246,618
251,Maryland (Big Ten) ,32,19-13 ,229,617
251,Utah Valley (WAC) ,30,21-9 ,239,617
253,Richmond (Atlantic 10) ,30,11-19 ,201,614
253,Boston U. (Patriot) ,31,15-16 ,229,614
253,Arkansas (SEC) ,31,21-10 ,247,614
253,South Carolina St. (MEAC) ,32,10-22 ,205,614
257,Ill.-Chicago (Horizon) ,32,17-15 ,211,613
257,Bradley (MVC) ,33,20-13 ,217,613
259,Ohio St. (Big Ten) ,32,24-8 ,216,612
259,FIU (C-USA) ,31,14-17 ,198,612
259,UC Irvine (Big West) ,32,16-16 ,207,612
262,Tennessee (SEC) ,30,23-7 ,233,611
263,Alabama (SEC) ,31,17-14 ,197,610
264,Old Dominion (C-USA) ,30,24-6 ,221,607
264,DePaul (Big East) ,30,11-19 ,188,607
264,Texas St. (Sun Belt) ,31,14-17 ,204,607
267,UAB (C-USA) ,31,19-12 ,211,606
268,Little Rock (Sun Belt) ,31,7-24 ,196,605
269,Southern Ill. (MVC) ,33,20-13 ,215,604
270,Washington (Pac-12) ,31,20-11 ,207,603
270,Texas Tech (Big 12) ,31,23-8 ,217,603
272,Indiana (Big Ten) ,31,16-15 ,194,602
273,Alabama A&M (SWAC) ,31,3-28 ,182,601
273,Jacksonville (ASUN) ,33,15-18 ,202,601
273,Central Conn. St. (NEC) ,32,14-18 ,198,601
276,IUPUI (Horizon) ,30,11-19 ,213,600
276,Siena (MAAC) ,32,8-24 ,220,600
278,Sacred Heart (NEC) ,31,10-21 ,179,599
279,Manhattan (MAAC) ,31,14-17 ,239,598
280,Eastern Mich. (MAC) ,31,20-11 ,198,597
281,Florida A&M (MEAC) ,33,9-24 ,211,596
282,Middle Tenn. (C-USA) ,30,24-6 ,215,592
282,Hawaii (Big West) ,29,17-12 ,196,592
284,Delaware St. (MEAC) ,32,4-28 ,192,591
284,CSU Bakersfield (WAC) ,29,12-17 ,177,591
286,Brown (Ivy League) ,27,11-16 ,186,588
287,Providence (Big East) ,31,19-12 ,203,587
288,Georgetown (Big East) ,29,15-14 ,214,586
289,Northern Ariz. (Big Sky) ,32,5-27 ,178,584
289,SFA (Southland) ,31,25-6 ,218,584
289,Delaware (CAA) ,33,14-19 ,192,584
289,Jacksonville St. (OVC) ,33,21-12 ,191,584
293,East Carolina (AAC) ,29,10-19 ,176,583
294,McNeese (Southland) ,28,11-17 ,202,581
294,Towson (CAA) ,32,18-14 ,210,581
296,Memphis (AAC) ,31,19-12 ,179,579
297,Syracuse (ACC) ,32,20-12 ,185,577
298,UC Riverside (Big West) ,30,9-21 ,179,576
299,Loyola Marymount (WCC) ,31,11-20 ,200,574
299,St. Bonaventure (Atlantic 10) ,30,24-6 ,228,574
299,Monmouth (MAAC) ,31,11-20 ,223,574
302,N.C. Central (MEAC) ,31,16-15 ,196,571
303,Virginia (ACC) ,30,28-2 ,222,570
304,Mississippi Val. (SWAC) ,32,4-28 ,171,568
305,Georgia (SEC) ,30,16-14 ,182,565
305,Arizona (Pac-12) ,31,24-7 ,217,565
307,Charlotte (C-USA) ,29,6-23 ,198,563
308,Dartmouth (Ivy League) ,27,7-20 ,200,557
309,South Fla. (AAC) ,31,10-21 ,200,556
309,Baylor (Big 12) ,31,18-13 ,198,556
311,Hampton (MEAC) ,31,17-14 ,175,553
311,Austin Peay (OVC) ,32,18-14 ,193,553
313,Stanford (Pac-12) ,31,17-14 ,206,552
314,Sacramento St. (Big Sky) ,31,7-24 ,194,549
315,Long Beach St. (Big West) ,32,15-17 ,191,548
316,Rhode Island (Atlantic 10) ,29,23-6 ,185,547
317,Pepperdine (WCC) ,32,6-26 ,186,542
318,Oregon St. (Pac-12) ,30,15-15 ,182,541
319,Fresno St. (MWC) ,31,21-10 ,213,534
320,George Washington (Atlantic 10) ,31,14-17 ,170,533
321,Saint Louis (Atlantic 10) ,31,16-15 ,168,532
321,Chicago St. (WAC) ,31,3-28 ,166,532
323,Fla. Atlantic (C-USA) ,30,12-18 ,173,528
324,Western Ill. (Summit League) ,28,12-16 ,188,527
324,Denver (Summit League) ,30,15-15 ,211,527
326,UC Davis (Big West) ,30,21-9 ,195,521
327,CSUN (Big West) ,30,6-24 ,186,514
327,UNLV (MWC) ,31,19-12 ,171,514
329,Northern Ill. (MAC) ,32,13-19 ,169,512
330,Southern U. (SWAC) ,32,15-17 ,174,510
331,Loyola Maryland (Patriot) ,31,9-22 ,163,509
332,Albany (NY) (America East) ,32,22-10 ,184,502
333,UCF (AAC) ,30,18-12 ,162,500
333,Rutgers (Big Ten) ,34,15-19 ,145,500
335,Montana (Big Sky) ,30,23-7 ,165,498
336,Incarnate Word (Southland) ,28,7-21 ,166,493
336,California (Pac-12) ,31,8-23 ,141,493
338,Georgia Tech (ACC) ,32,13-19 ,156,490
339,Western Ky. (C-USA) ,31,22-9 ,172,477
340,Grambling (SWAC) ,31,17-14 ,154,470
341,San Jose St. (MWC) ,29,4-25 ,170,467
342,Kentucky (SEC) ,31,21-10 ,161,462
343,Pacific (WCC) ,32,14-18 ,151,459
344,High Point (Big South) ,30,14-16 ,163,456
345,Evansville (MVC) ,32,17-15 ,184,448
345,Northwestern St. (Southland) ,29,4-25 ,125,448
347,Cal St. Fullerton (Big West) ,28,17-11 ,153,445
348,Morgan St. (MEAC) ,30,12-18 ,148,440
349,Kennesaw St. (ASUN) ,30,10-20 ,160,438
350,A&M-Corpus Christi (Southland) ,28,11-17 ,145,421
351,New Orleans (Southland) ,29,14-15 ,139,397
