Rank,Name,GM,W-L,OPP FG,OPP FGA,OPP FG%
225,UNC Asheville (Big South) ,33,21-12 ,844,1885,44.8
226,Lehigh (Patriot) ,30,16-14 ,828,1849,44.8
227,Central Ark. (Southland) ,31,16-15 ,862,1924,44.8
228,Rice (C-USA) ,31,7-24 ,850,1897,44.8
229,Robert Morris (NEC) ,33,16-17 ,833,1858,44.8
230,Northeastern (CAA) ,33,23-10 ,834,1860,44.8
231,Washington (Pac-12) ,31,20-11 ,811,1807,44.9
232,Butler (Big East) ,31,19-12 ,777,1731,44.9
233,Canisius (MAAC) ,32,21-11 ,792,1764,44.9
234,BYU (WCC) ,34,24-10 ,848,1888,44.9
235,Princeton (Ivy League) ,29,13-16 ,738,1643,44.9
236,Kent St. (MAC) ,32,16-16 ,835,1858,44.9
237,James Madison (CAA) ,32,10-22 ,811,1804,45
238,Columbia (Ivy League) ,27,8-19 ,723,1608,45
239,Boston U. (Patriot) ,31,15-16 ,793,1762,45
240,Duquesne (Atlantic 10) ,31,16-15 ,776,1724,45
241,Jackson St. (SWAC) ,31,12-20 ,700,1555,45
242,Mt. St. Mary's (NEC) ,32,18-14 ,842,1870,45
243,George Mason (Atlantic 10) ,31,15-16 ,852,1892,45
244,Utah St. (MWC) ,31,15-16 ,790,1754,45
245,Oakland (Horizon) ,33,19-14 ,931,2067,45
246,Rhode Island (Atlantic 10) ,29,23-6 ,678,1504,45.1
247,LSU (SEC) ,30,17-13 ,787,1743,45.2
248,VCU (Atlantic 10) ,31,17-14 ,843,1867,45.2
249,Colgate (Patriot) ,31,19-12 ,775,1715,45.2
250,Navy (Patriot) ,32,20-12 ,744,1645,45.2
251,George Washington (Atlantic 10) ,31,14-17 ,810,1790,45.3
252,La Salle (Atlantic 10) ,31,13-18 ,818,1807,45.3
253,Alabama St. (SWAC) ,31,8-23 ,813,1795,45.3
254,East Carolina (AAC) ,29,10-19 ,799,1764,45.3
255,Pacific (WCC) ,32,14-18 ,798,1760,45.3
256,Marist (MAAC) ,31,6-25 ,896,1976,45.3
257,Western Mich. (MAC) ,32,17-15 ,818,1803,45.4
258,Drake (MVC) ,32,16-16 ,877,1933,45.4
259,Cornell (Ivy League) ,27,12-15 ,784,1728,45.4
260,Lafayette (Patriot) ,31,10-21 ,856,1886,45.4
261,Cal Poly (Big West) ,30,9-21 ,787,1729,45.5
262,Delaware (CAA) ,33,14-19 ,869,1909,45.5
263,Fairfield (MAAC) ,33,17-16 ,886,1946,45.5
264,UMKC (WAC) ,31,10-21 ,816,1790,45.6
265,Idaho St. (Big Sky) ,30,14-16 ,816,1789,45.6
266,Cleveland St. (Horizon) ,35,12-23 ,936,2052,45.6
267,Sacramento St. (Big Sky) ,31,7-24 ,798,1748,45.7
268,Colorado St. (MWC) ,31,11-20 ,851,1862,45.7
269,Texas Southern (SWAC) ,32,13-19 ,942,2061,45.7
270,Yale (Ivy League) ,30,16-14 ,795,1738,45.7
271,N.C. A&T (MEAC) ,32,19-13 ,877,1916,45.8
272,Bowling Green (MAC) ,32,16-16 ,893,1949,45.8
273,Iona (MAAC) ,33,20-13 ,933,2035,45.8
274,Wisconsin (Big Ten) ,33,15-18 ,798,1740,45.9
275,Saint Francis (PA) (NEC) ,30,18-12 ,860,1875,45.9
276,TCU (Big 12) ,31,21-10 ,847,1845,45.9
277,Niagara (MAAC) ,32,19-13 ,975,2122,45.9
278,Western Caro. (SoCon) ,32,13-19 ,839,1824,46
279,NJIT (ASUN) ,30,14-16 ,795,1726,46.1
280,Akron (MAC) ,31,14-17 ,807,1752,46.1
281,Southern Miss. (C-USA) ,31,14-17 ,783,1699,46.1
282,Fort Wayne (Summit League) ,32,18-14 ,891,1933,46.1
283,Drexel (CAA) ,33,13-20 ,948,2054,46.2
284,Northern Ill. (MAC) ,32,13-19 ,861,1865,46.2
285,New Orleans (Southland) ,29,14-15 ,723,1566,46.2
286,Air Force (MWC) ,30,12-18 ,749,1621,46.2
287,Fordham (Atlantic 10) ,30,9-21 ,778,1683,46.2
288,Massachusetts (Atlantic 10) ,31,12-19 ,835,1806,46.2
289,Iowa (Big Ten) ,33,14-19 ,953,2061,46.2
290,NC State (ACC) ,31,21-10 ,846,1827,46.3
291,Quinnipiac (MAAC) ,33,12-21 ,908,1960,46.3
292,CSUN (Big West) ,30,6-24 ,801,1726,46.4
293,Delaware St. (MEAC) ,32,4-28 ,846,1822,46.4
294,Austin Peay (OVC) ,32,18-14 ,793,1707,46.5
295,Oral Roberts (Summit League) ,32,11-21 ,902,1940,46.5
296,Stetson (ASUN) ,32,12-20 ,881,1891,46.6
297,Vanderbilt (SEC) ,31,12-19 ,812,1742,46.6
298,Long Beach St. (Big West) ,32,15-17 ,928,1990,46.6
