Rank,Team,GM,W-L,PTS,PPG
312,Bradley (MVC) ,33,20-13 ,2223,67.4
313,Radford (Big South) ,34,22-12 ,2290,67.4
314,Virginia (ACC) ,30,28-2 ,2019,67.3
315,George Washington (Atlantic 10) ,31,14-17 ,2084,67.2
316,East Carolina (AAC) ,29,10-19 ,1941,66.9
317,Maine (America East) ,32,6-26 ,2140,66.9
318,Wisconsin (Big Ten) ,33,15-18 ,2206,66.8
319,Eastern Ill. (OVC) ,31,12-19 ,2065,66.6
320,Tennessee St. (OVC) ,30,15-15 ,1997,66.6
321,Texas St. (Sun Belt) ,31,14-17 ,2063,66.5
322,Presbyterian (Big South) ,32,11-21 ,2124,66.4
323,CSUN (Big West) ,30,6-24 ,1983,66.1
324,Santa Clara (WCC) ,31,11-20 ,2048,66.1
325,San Jose St. (MWC) ,29,4-25 ,1913,66
326,Ark.-Pine Bluff (SWAC) ,32,13-20 ,2107,65.8
327,Saint Louis (Atlantic 10) ,31,16-15 ,2040,65.8
328,CSU Bakersfield (WAC) ,29,12-17 ,1907,65.8
329,Georgia Tech (ACC) ,32,13-19 ,2101,65.7
330,Northern Ariz. (Big Sky) ,32,5-27 ,2100,65.6
331,Evansville (MVC) ,32,17-15 ,2094,65.4
332,American (Patriot) ,30,6-24 ,1961,65.4
333,UC Riverside (Big West) ,30,9-21 ,1958,65.3
334,Saint Peter's (MAAC) ,32,14-18 ,2085,65.2
335,VMI (SoCon) ,30,9-21 ,1954,65.1
336,Rutgers (Big Ten) ,34,15-19 ,2214,65.1
337,Mississippi Val. (SWAC) ,32,4-28 ,2075,64.8
338,Northwestern St. (Southland) ,29,4-25 ,1868,64.4
339,UNI (MVC) ,32,16-16 ,2056,64.3
340,Little Rock (Sun Belt) ,31,7-24 ,1974,63.7
341,Holy Cross (Patriot) ,31,12-19 ,1972,63.6
342,Delaware St. (MEAC) ,32,4-28 ,2034,63.6
343,Longwood (Big South) ,33,7-26 ,2088,63.3
344,South Fla. (AAC) ,31,10-21 ,1949,62.9
345,UCF (AAC) ,30,18-12 ,1885,62.8
346,Jackson St. (SWAC) ,31,12-20 ,1933,62.4
347,UMES (MEAC) ,32,7-25 ,1992,62.3
348,Pittsburgh (ACC) ,31,8-23 ,1921,62
349,Fordham (Atlantic 10) ,30,9-21 ,1859,62
350,Coppin St. (MEAC) ,32,5-27 ,1945,60.8
351,Alabama A&M (SWAC) ,31,3-28 ,1873,60.4
