Rank,Name,GM,W-L,FGM,FGA,FG%
179,Charleston So. (Big South) ,31,15-16 ,802,1793,44.7
180,North Texas (C-USA) ,31,15-16 ,816,1825,44.7
181,Providence (Big East) ,31,19-12 ,797,1785,44.6
182,UNCG (SoCon) ,34,27-7 ,896,2007,44.6
183,Southern Miss. (C-USA) ,31,14-17 ,798,1789,44.6
184,Sacramento St. (Big Sky) ,31,7-24 ,778,1746,44.6
185,Milwaukee (Horizon) ,33,16-17 ,834,1872,44.6
186,George Washington (Atlantic 10) ,31,14-17 ,779,1750,44.5
187,San Diego (WCC) ,31,18-13 ,718,1613,44.5
188,Marist (MAAC) ,31,6-25 ,761,1710,44.5
189,Bethune-Cookman (MEAC) ,31,18-13 ,879,1976,44.5
190,SMU (AAC) ,31,16-15 ,766,1722,44.5
191,Troy (Sun Belt) ,31,15-16 ,810,1821,44.5
192,UMBC (America East) ,33,23-10 ,861,1937,44.5
193,Army West Point (Patriot) ,30,13-17 ,820,1845,44.4
193,Colgate (Patriot) ,31,19-12 ,792,1782,44.4
195,Gardner-Webb (Big South) ,32,14-18 ,822,1850,44.4
196,Navy (Patriot) ,32,20-12 ,771,1737,44.4
197,Manhattan (MAAC) ,31,14-17 ,737,1661,44.4
198,Arkansas St. (Sun Belt) ,31,11-20 ,821,1851,44.4
199,Binghamton (America East) ,31,11-20 ,787,1775,44.3
200,Ohio (MAC) ,31,14-17 ,839,1893,44.3
201,Loyola Marymount (WCC) ,31,11-20 ,803,1813,44.3
202,Auburn (SEC) ,31,25-6 ,848,1915,44.3
203,Wyoming (MWC) ,31,19-12 ,816,1844,44.3
204,Evansville (MVC) ,32,17-15 ,731,1652,44.2
205,Columbia (Ivy League) ,27,8-19 ,746,1686,44.2
206,Hawaii (Big West) ,29,17-12 ,695,1572,44.2
207,Stetson (ASUN) ,32,12-20 ,907,2053,44.2
208,UC Irvine (Big West) ,32,16-16 ,835,1891,44.2
209,Tennessee (SEC) ,30,23-7 ,762,1726,44.1
210,Drexel (CAA) ,33,13-20 ,880,1994,44.1
211,Oklahoma St. (Big 12) ,31,18-13 ,833,1893,44
212,Miami (OH) (MAC) ,32,16-16 ,827,1880,44
213,Elon (CAA) ,32,14-18 ,842,1916,43.9
214,Drake (MVC) ,32,16-16 ,812,1848,43.9
215,Texas (Big 12) ,31,18-13 ,801,1823,43.9
216,Illinois (Big Ten) ,32,14-18 ,856,1949,43.9
217,Western Mich. (MAC) ,32,17-15 ,845,1925,43.9
218,Tennessee Tech (OVC) ,33,19-14 ,844,1924,43.9
219,Wake Forest (ACC) ,31,11-20 ,801,1826,43.9
220,George Mason (Atlantic 10) ,31,15-16 ,800,1824,43.9
221,Fairfield (MAAC) ,33,17-16 ,881,2009,43.9
222,Loyola Maryland (Patriot) ,31,9-22 ,797,1820,43.8
223,Vanderbilt (SEC) ,31,12-19 ,752,1718,43.8
224,Colorado (Pac-12) ,30,16-14 ,755,1725,43.8
225,Eastern Ky. (OVC) ,31,11-20 ,778,1779,43.7
226,La.-Monroe (Sun Belt) ,29,15-14 ,736,1683,43.7
227,UTSA (C-USA) ,31,18-13 ,866,1981,43.7
228,Oral Roberts (Summit League) ,32,11-21 ,879,2011,43.7
229,Texas St. (Sun Belt) ,31,14-17 ,731,1673,43.7
230,Prairie View (SWAC) ,33,16-17 ,865,1980,43.7
231,UTEP (C-USA) ,30,11-19 ,732,1676,43.7
232,Tulsa (AAC) ,30,19-11 ,731,1674,43.7
233,Sacred Heart (NEC) ,31,10-21 ,796,1823,43.7
234,Texas Southern (SWAC) ,32,13-19 ,822,1883,43.7
235,Ark.-Pine Bluff (SWAC) ,32,13-20 ,747,1712,43.6
236,UNCW (CAA) ,32,11-21 ,920,2109,43.6
237,Wright St. (Horizon) ,34,25-9 ,854,1959,43.6
238,Akron (MAC) ,31,14-17 ,772,1771,43.6
239,West Virginia (Big 12) ,31,22-9 ,872,2001,43.6
240,Appalachian St. (Sun Belt) ,31,14-17 ,811,1862,43.6
241,Missouri St. (MVC) ,33,18-15 ,851,1954,43.6
242,San Jose St. (MWC) ,29,4-25 ,682,1566,43.6
243,A&M-Corpus Christi (Southland) ,28,11-17 ,668,1534,43.5
244,Iowa St. (Big 12) ,30,13-17 ,790,1816,43.5
245,Coastal Caro. (Sun Belt) ,31,14-17 ,763,1754,43.5
246,Detroit Mercy (Horizon) ,32,8-24 ,883,2031,43.5
247,Florida (SEC) ,31,20-11 ,816,1877,43.5
248,Chattanooga (SoCon) ,33,10-23 ,784,1804,43.5
249,Lamar University (Southland) ,31,19-12 ,824,1897,43.4
250,Cleveland St. (Horizon) ,35,12-23 ,853,1965,43.4
251,McNeese (Southland) ,28,11-17 ,748,1724,43.4
252,Central Mich. (MAC) ,32,19-13 ,839,1934,43.4
253,Alcorn (SWAC) ,32,11-21 ,791,1824,43.4
254,St. John's (NY) (Big East) ,31,15-16 ,815,1882,43.3
255,Nebraska (Big Ten) ,32,22-10 ,797,1841,43.3
256,CSUN (Big West) ,30,6-24 ,731,1689,43.3
257,Wagner (NEC) ,32,23-9 ,818,1892,43.2
258,American (Patriot) ,30,6-24 ,698,1615,43.2
259,Charlotte (C-USA) ,29,6-23 ,706,1634,43.2
