Rank,Name,GM,W-L,FTM,FTA
301,Youngstown St. (Horizon) ,32,8-24 ,371,583
301,Pittsburgh (ACC) ,32,8-24 ,371,534
303,Georgia St. (Sun Belt) ,31,21-10 ,370,554
304,Bryant (NEC) ,31,3-28 ,368,522
305,Coppin St. (MEAC) ,32,5-27 ,366,497
305,UMES (MEAC) ,32,7-25 ,366,542
305,VCU (Atlantic 10) ,31,17-14 ,366,526
308,Omaha (Summit League) ,31,9-22 ,365,517
309,SMU (AAC) ,31,16-15 ,364,535
310,Harvard (Ivy League) ,29,17-12 ,363,469
311,UTEP (C-USA) ,31,11-20 ,362,542
312,Miami (OH) (MAC) ,32,16-16 ,360,524
313,Northwestern St. (Southland) ,29,4-25 ,359,588
314,Delaware St. (MEAC) ,32,4-28 ,358,516
314,Sacred Heart (NEC) ,31,10-21 ,358,540
316,Boston U. (Patriot) ,31,15-16 ,357,559
317,Milwaukee (Horizon) ,33,16-17 ,356,528
318,Sacramento St. (Big Sky) ,32,7-25 ,355,519
319,Oral Roberts (Summit League) ,32,11-21 ,354,517
320,VMI (SoCon) ,30,9-21 ,353,477
321,Richmond (Atlantic 10) ,30,11-19 ,352,491
322,Cal Poly (Big West) ,30,9-21 ,351,454
323,Presbyterian (Big South) ,32,11-21 ,350,510
323,Kansas (Big 12) ,31,24-7 ,350,501
323,Saint Peter's (MAAC) ,32,14-18 ,350,482
326,Stetson (ASUN) ,32,12-20 ,348,518
327,Miami (FL) (ACC) ,30,22-8 ,347,521
328,Alabama A&M (SWAC) ,31,3-28 ,345,533
329,Massachusetts (Atlantic 10) ,32,13-19 ,343,462
330,Dartmouth (Ivy League) ,27,7-20 ,339,475
331,Binghamton (America East) ,31,11-20 ,338,528
331,Little Rock (Sun Belt) ,32,7-25 ,338,554
333,CSUN (Big West) ,30,6-24 ,335,473
334,USC Upstate (ASUN) ,32,7-25 ,334,460
335,Washington St. (Pac-12) ,31,12-19 ,327,444
336,Western Ill. (Summit League) ,28,12-16 ,326,456
336,American (Patriot) ,30,6-24 ,326,491
338,Elon (CAA) ,32,14-18 ,325,457
339,New Mexico St. (WAC) ,30,25-5 ,322,506
340,Holy Cross (Patriot) ,31,12-19 ,321,465
340,East Carolina (AAC) ,29,10-19 ,321,482
342,Fordham (Atlantic 10) ,31,9-22 ,320,452
343,Davidson (Atlantic 10) ,29,18-11 ,319,402
344,Jackson St. (SWAC) ,31,12-20 ,318,485
345,Princeton (Ivy League) ,29,13-16 ,313,443
346,La.-Monroe (Sun Belt) ,30,16-14 ,309,433
346,UT Martin (OVC) ,31,10-21 ,309,426
348,Virginia (ACC) ,30,28-2 ,307,406
349,Temple (AAC) ,30,16-14 ,303,445
350,Columbia (Ivy League) ,27,8-19 ,301,407
351,Army West Point (Patriot) ,30,13-17 ,295,448
