Rank,Team,GM,W-L,BLKS
249,Savannah St. (MEAC) ,31,15-16 ,88
249,UTSA (C-USA) ,32,19-13 ,88
249,Detroit Mercy (Horizon) ,32,8-24 ,88
249,Jackson St. (SWAC) ,31,12-20 ,88
249,Saint Joseph's (Atlantic 10) ,30,15-15 ,88
254,Stetson (ASUN) ,32,12-20 ,87
254,North Texas (C-USA) ,32,15-17 ,87
254,Vermont (America East) ,33,27-6 ,87
254,VMI (SoCon) ,30,9-21 ,87
258,USC Upstate (ASUN) ,32,7-25 ,86
258,SFA (Southland) ,31,25-6 ,86
258,Tennessee St. (OVC) ,30,15-15 ,86
258,UMass Lowell (America East) ,30,12-18 ,86
258,Dartmouth (Ivy League) ,27,7-20 ,86
258,Morehead St. (OVC) ,29,8-21 ,86
258,Wofford (SoCon) ,33,21-12 ,86
258,Quinnipiac (MAAC) ,33,12-21 ,86
258,Morgan St. (MEAC) ,31,13-18 ,86
267,Penn (Ivy League) ,30,22-8 ,85
267,VCU (Atlantic 10) ,31,17-14 ,85
267,Alcorn (SWAC) ,32,11-21 ,85
270,Liberty (Big South) ,34,20-14 ,84
270,A&M-Corpus Christi (Southland) ,29,11-18 ,84
272,Miami (OH) (MAC) ,32,16-16 ,83
272,Omaha (Summit League) ,31,9-22 ,83
272,Delaware St. (MEAC) ,32,4-28 ,83
272,CSU Bakersfield (WAC) ,29,12-17 ,83
272,Hofstra (CAA) ,31,19-12 ,83
272,Army West Point (Patriot) ,30,13-17 ,83
278,SIUE (OVC) ,30,9-21 ,82
278,Belmont (OVC) ,33,24-9 ,82
278,Loyola Chicago (MVC) ,33,28-5 ,82
278,UMBC (America East) ,33,23-10 ,82
278,Coppin St. (MEAC) ,32,5-27 ,82
278,St. Francis Brooklyn (NEC) ,31,13-18 ,82
278,Bowling Green (MAC) ,32,16-16 ,82
278,High Point (Big South) ,30,14-16 ,82
278,Northeastern (CAA) ,33,23-10 ,82
287,Brown (Ivy League) ,27,11-16 ,81
288,UMKC (WAC) ,31,10-21 ,80
288,Idaho (Big Sky) ,30,22-8 ,80
288,Akron (MAC) ,31,14-17 ,80
288,UNI (MVC) ,32,16-16 ,80
292,Drake (MVC) ,32,16-16 ,79
292,Chicago St. (WAC) ,31,3-28 ,79
294,South Dakota St. (Summit League) ,34,28-6 ,78
294,Creighton (Big East) ,31,21-10 ,78
294,Air Force (MWC) ,31,12-19 ,78
297,Marist (MAAC) ,31,6-25 ,77
298,N.C. A&T (MEAC) ,32,19-13 ,76
298,North Dakota St. (Summit League) ,32,15-17 ,76
298,Dayton (Atlantic 10) ,30,14-16 ,76
298,Samford (SoCon) ,32,10-22 ,76
298,South Carolina St. (MEAC) ,32,10-22 ,76
298,Richmond (Atlantic 10) ,30,11-19 ,76
304,Wright St. (Horizon) ,34,25-9 ,75
304,Delaware (CAA) ,33,14-19 ,75
304,Lamar University (Southland) ,32,19-13 ,75
307,South Fla. (AAC) ,31,10-21 ,74
307,Fordham (Atlantic 10) ,31,9-22 ,74
307,CSUN (Big West) ,30,6-24 ,74
310,Monmouth (MAAC) ,31,11-20 ,73
310,Virginia Tech (ACC) ,32,21-11 ,73
310,Santa Clara (WCC) ,31,11-20 ,73
313,Loyola Marymount (WCC) ,31,11-20 ,72
313,Sacred Heart (NEC) ,31,10-21 ,72
313,Denver (Summit League) ,30,15-15 ,72
313,Idaho St. (Big Sky) ,30,14-16 ,72
313,Furman (SoCon) ,33,23-10 ,72
318,UC Davis (Big West) ,30,21-9 ,71
318,Washington St. (Pac-12) ,31,12-19 ,71
320,Chattanooga (SoCon) ,33,10-23 ,69
320,Pepperdine (WCC) ,32,6-26 ,69
320,Illinois (Big Ten) ,32,14-18 ,69
320,San Jose St. (MWC) ,30,4-26 ,69
320,Saint Francis (PA) (NEC) ,30,18-12 ,69
325,Boise St. (MWC) ,30,23-7 ,68
326,Tulsa (AAC) ,30,19-11 ,67
326,UNCW (CAA) ,32,11-21 ,67
326,Utah St. (MWC) ,32,16-16 ,67
329,Middle Tenn. (C-USA) ,30,24-6 ,66
329,Elon (CAA) ,32,14-18 ,66
329,Rice (C-USA) ,31,7-24 ,66
329,Montana St. (Big Sky) ,32,13-19 ,66
333,South Dakota (Summit League) ,34,26-8 ,65
333,Charlotte (C-USA) ,29,6-23 ,65
335,Presbyterian (Big South) ,32,11-21 ,63
336,North Dakota (Big Sky) ,31,12-19 ,58
336,Davidson (Atlantic 10) ,29,18-11 ,58
336,Northern Ill. (MAC) ,32,13-19 ,58
339,Sam Houston St. (Southland) ,31,18-13 ,57
339,UMES (MEAC) ,32,7-25 ,57
341,Mississippi Val. (SWAC) ,32,4-28 ,56
341,Hawaii (Big West) ,29,17-12 ,56
341,New Hampshire (America East) ,31,10-21 ,56
344,Southern Miss. (C-USA) ,32,15-17 ,55
345,Southeast Mo. St. (OVC) ,31,14-17 ,54
346,Lehigh (Patriot) ,30,16-14 ,53
346,Mercer (SoCon) ,32,18-14 ,53
348,Alabama A&M (SWAC) ,31,3-28 ,49
349,Bryant (NEC) ,31,3-28 ,43
350,Navy (Patriot) ,32,20-12 ,41
351,La.-Monroe (Sun Belt) ,30,16-14 ,40
