Rank,Team,GM,W-L,3FG,3PG
272,Texas A&M (SEC) ,31,20-11 ,205,6.6
273,Ill.-Chicago (Horizon) ,32,17-15 ,211,6.6
273,Texas St. (Sun Belt) ,32,15-17 ,211,6.6
275,Bradley (MVC) ,33,20-13 ,217,6.6
276,Towson (CAA) ,32,18-14 ,210,6.6
277,Holy Cross (Patriot) ,31,12-19 ,203,6.5
277,Providence (Big East) ,31,19-12 ,203,6.5
279,Wisconsin (Big Ten) ,33,15-18 ,216,6.5
280,Southern Ill. (MVC) ,33,20-13 ,215,6.5
281,UC Davis (Big West) ,30,21-9 ,195,6.5
282,UC Irvine (Big West) ,32,16-16 ,207,6.5
283,Loyola Marymount (WCC) ,31,11-20 ,200,6.5
283,South Fla. (AAC) ,31,10-21 ,200,6.5
285,BYU (WCC) ,34,24-10 ,219,6.4
286,Ark.-Pine Bluff (SWAC) ,32,13-20 ,206,6.4
286,UMES (MEAC) ,32,7-25 ,206,6.4
286,Navy (Patriot) ,32,20-12 ,206,6.4
289,South Carolina St. (MEAC) ,32,10-22 ,205,6.4
290,Eastern Mich. (MAC) ,31,20-11 ,198,6.4
290,Baylor (Big 12) ,31,18-13 ,198,6.4
292,Florida A&M (MEAC) ,34,9-25 ,217,6.4
293,Rhode Island (Atlantic 10) ,29,23-6 ,185,6.4
294,Alabama (SEC) ,31,17-14 ,197,6.4
295,FIU (C-USA) ,32,14-18 ,203,6.3
296,N.C. Central (MEAC) ,31,16-15 ,196,6.3
296,UTRGV (WAC) ,31,15-16 ,196,6.3
298,Sacramento St. (Big Sky) ,32,7-25 ,202,6.3
299,DePaul (Big East) ,31,11-20 ,194,6.3
299,Indiana (Big Ten) ,31,16-15 ,194,6.3
301,Little Rock (Sun Belt) ,32,7-25 ,200,6.3
302,CSUN (Big West) ,30,6-24 ,186,6.2
303,Central Conn. St. (NEC) ,32,14-18 ,198,6.2
304,Jacksonville (ASUN) ,33,15-18 ,202,6.1
305,CSU Bakersfield (WAC) ,29,12-17 ,177,6.1
306,East Carolina (AAC) ,29,10-19 ,176,6.1
307,Oregon St. (Pac-12) ,30,15-15 ,182,6.1
308,Georgia (SEC) ,31,17-14 ,188,6.1
309,Austin Peay (OVC) ,32,18-14 ,193,6
310,Delaware St. (MEAC) ,32,4-28 ,192,6
310,N.C. A&T (MEAC) ,32,19-13 ,192,6
312,Long Beach St. (Big West) ,32,15-17 ,191,6
313,UC Riverside (Big West) ,30,9-21 ,179,6
314,San Jose St. (MWC) ,30,4-26 ,178,5.9
315,Incarnate Word (Southland) ,28,7-21 ,166,5.9
316,Alabama A&M (SWAC) ,31,3-28 ,182,5.9
317,Syracuse (ACC) ,33,20-13 ,193,5.8
318,Delaware (CAA) ,33,14-19 ,192,5.8
319,Pepperdine (WCC) ,32,6-26 ,186,5.8
320,Jacksonville St. (OVC) ,33,21-12 ,191,5.8
321,Memphis (AAC) ,31,19-12 ,179,5.8
321,Sacred Heart (NEC) ,31,10-21 ,179,5.8
321,Fla. Atlantic (C-USA) ,31,12-19 ,179,5.8
324,Albany (NY) (America East) ,32,22-10 ,184,5.8
324,Evansville (MVC) ,32,17-15 ,184,5.8
326,Hampton (MEAC) ,32,18-14 ,181,5.7
327,UNLV (MWC) ,32,20-12 ,178,5.6
327,Northern Ariz. (Big Sky) ,32,5-27 ,178,5.6
329,Western Ky. (C-USA) ,31,22-9 ,172,5.5
330,George Washington (Atlantic 10) ,32,15-17 ,176,5.5
330,Montana (Big Sky) ,30,23-7 ,165,5.5
332,Cal St. Fullerton (Big West) ,28,17-11 ,153,5.5
333,Southern U. (SWAC) ,32,15-17 ,174,5.4
334,High Point (Big South) ,30,14-16 ,163,5.4
335,Saint Louis (Atlantic 10) ,31,16-15 ,168,5.4
336,UCF (AAC) ,30,18-12 ,162,5.4
337,Chicago St. (WAC) ,31,3-28 ,166,5.4
338,Mississippi Val. (SWAC) ,32,4-28 ,171,5.3
339,Kennesaw St. (ASUN) ,30,10-20 ,160,5.3
340,Northern Ill. (MAC) ,32,13-19 ,169,5.3
341,Loyola Maryland (Patriot) ,31,9-22 ,163,5.3
342,Kentucky (SEC) ,31,21-10 ,161,5.2
343,A&M-Corpus Christi (Southland) ,29,11-18 ,149,5.1
344,Morgan St. (MEAC) ,31,13-18 ,155,5
345,Grambling (SWAC) ,31,17-14 ,154,5
346,Georgia Tech (ACC) ,32,13-19 ,156,4.9
347,New Orleans (Southland) ,30,15-15 ,143,4.8
348,Pacific (WCC) ,32,14-18 ,151,4.7
349,California (Pac-12) ,31,8-23 ,141,4.5
350,Northwestern St. (Southland) ,29,4-25 ,125,4.3
351,Rutgers (Big Ten) ,34,15-19 ,145,4.3
