Rank,Team,GM,W-L,ST,STPG
295,Eastern Wash. (Big Sky) ,31,18-13 ,159,5.1
296,UNCW (CAA) ,32,11-21 ,164,5.1
296,Northern Colo. (Big Sky) ,32,21-11 ,164,5.1
298,Tulane (AAC) ,30,14-16 ,153,5.1
299,Boston College (ACC) ,33,19-14 ,168,5.1
300,Utah St. (MWC) ,32,16-16 ,162,5.1
301,Hofstra (CAA) ,31,19-12 ,156,5
302,Central Conn. St. (NEC) ,32,14-18 ,161,5
302,Niagara (MAAC) ,32,19-13 ,161,5
304,Chattanooga (SoCon) ,33,10-23 ,166,5
305,South Fla. (AAC) ,31,10-21 ,155,5
305,Cal Poly (Big West) ,30,9-21 ,150,5
305,East Carolina (AAC) ,29,10-19 ,145,5
308,South Dakota St. (Summit League) ,34,28-6 ,169,5
309,Delaware (CAA) ,33,14-19 ,164,5
310,Little Rock (Sun Belt) ,32,7-25 ,159,5
311,UC Santa Barbara (Big West) ,30,22-8 ,149,5
311,CSUN (Big West) ,30,6-24 ,149,5
313,Troy (Sun Belt) ,32,16-16 ,158,4.9
314,Seattle U (WAC) ,31,19-12 ,153,4.9
315,Belmont (OVC) ,33,24-9 ,161,4.9
316,Northwestern (Big Ten) ,32,15-17 ,156,4.9
316,North Texas (C-USA) ,32,15-17 ,156,4.9
318,Davidson (Atlantic 10) ,29,18-11 ,141,4.9
319,Western Ill. (Summit League) ,28,12-16 ,136,4.9
320,Pepperdine (WCC) ,32,6-26 ,155,4.8
321,Arizona (Pac-12) ,31,24-7 ,150,4.8
322,Vanderbilt (SEC) ,32,12-20 ,154,4.8
322,Massachusetts (Atlantic 10) ,32,13-19 ,154,4.8
324,Sacred Heart (NEC) ,31,10-21 ,149,4.8
324,Iowa St. (Big 12) ,31,13-18 ,149,4.8
326,SIUE (OVC) ,30,9-21 ,144,4.8
327,Siena (MAAC) ,32,8-24 ,153,4.8
328,Princeton (Ivy League) ,29,13-16 ,137,4.7
329,UMES (MEAC) ,32,7-25 ,151,4.7
330,Albany (NY) (America East) ,32,22-10 ,150,4.7
331,Wichita St. (AAC) ,30,24-6 ,140,4.7
332,Missouri St. (MVC) ,33,18-15 ,153,4.6
333,North Dakota St. (Summit League) ,32,15-17 ,145,4.5
334,San Jose St. (MWC) ,30,4-26 ,135,4.5
335,Idaho (Big Sky) ,30,22-8 ,133,4.4
336,Colorado (Pac-12) ,31,17-14 ,137,4.4
337,Tulsa (AAC) ,30,19-11 ,132,4.4
338,Elon (CAA) ,32,14-18 ,140,4.4
339,Saint Mary's (CA) (WCC) ,33,28-5 ,143,4.3
340,Pittsburgh (ACC) ,32,8-24 ,138,4.3
340,Maryland (Big Ten) ,32,19-13 ,138,4.3
342,Denver (Summit League) ,30,15-15 ,129,4.3
343,Lafayette (Patriot) ,31,10-21 ,131,4.2
344,Marist (MAAC) ,31,6-25 ,130,4.2
345,UTEP (C-USA) ,31,11-20 ,129,4.2
346,Michigan St. (Big Ten) ,33,29-4 ,135,4.1
347,Alabama A&M (SWAC) ,31,3-28 ,123,4
348,Vermont (America East) ,33,27-6 ,128,3.9
349,Georgia (SEC) ,31,17-14 ,120,3.9
350,Toledo (MAC) ,31,21-10 ,115,3.7
351,New Hampshire (America East) ,31,10-21 ,111,3.6
