Rank,Team,GM,W-L,TO
279,Tennessee St. (OVC) ,30,15-15 ,442
279,Howard (MEAC) ,33,10-23 ,442
282,Incarnate Word (Southland) ,28,7-21 ,444
282,Georgetown (Big East) ,29,15-14 ,444
284,Abilene Christian (Southland) ,31,16-15 ,445
284,Missouri (SEC) ,31,20-11 ,445
284,New Orleans (Southland) ,29,14-15 ,445
284,Prairie View (SWAC) ,33,16-17 ,445
284,South Carolina St. (MEAC) ,32,10-22 ,445
289,UNLV (MWC) ,31,19-12 ,446
289,Little Rock (Sun Belt) ,31,7-24 ,446
289,Wright St. (Horizon) ,34,25-9 ,446
289,Quinnipiac (MAAC) ,33,12-21 ,446
289,Seattle U (WAC) ,31,19-12 ,446
294,Indiana St. (MVC) ,31,13-18 ,447
295,A&M-Corpus Christi (Southland) ,28,11-17 ,448
295,Stony Brook (America East) ,32,13-19 ,448
297,UT Martin (OVC) ,31,10-21 ,449
298,UC Irvine (Big West) ,32,16-16 ,450
298,Northeastern (CAA) ,33,23-10 ,450
300,Denver (Summit League) ,30,15-15 ,451
301,Navy (Patriot) ,32,20-12 ,452
301,UNC Asheville (Big South) ,33,21-12 ,452
303,Green Bay (Horizon) ,33,13-20 ,453
304,ETSU (SoCon) ,34,25-9 ,454
305,Morehead St. (OVC) ,29,8-21 ,456
306,Austin Peay (OVC) ,32,18-14 ,457
307,Cleveland St. (Horizon) ,35,12-23 ,459
307,California (Pac-12) ,31,8-23 ,459
309,Alcorn (SWAC) ,32,11-21 ,460
309,Chattanooga (SoCon) ,33,10-23 ,460
309,Stanford (Pac-12) ,31,17-14 ,460
309,Rice (C-USA) ,31,7-24 ,460
309,Youngstown St. (Horizon) ,32,8-24 ,460
314,Coppin St. (MEAC) ,32,5-27 ,462
314,Sacred Heart (NEC) ,31,10-21 ,462
316,South Ala. (Sun Belt) ,31,14-17 ,463
317,Florida A&M (MEAC) ,33,9-24 ,464
318,Ark.-Pine Bluff (SWAC) ,32,13-20 ,468
318,Chicago St. (WAC) ,31,3-28 ,468
318,UNCG (SoCon) ,34,27-7 ,468
321,Valparaiso (MVC) ,32,15-17 ,469
