Rank,Team,GM,W-L,TO,TOPG
223,Hawaii (Big West) ,30,17-13 ,402,13.4
224,Marshall (C-USA) ,32,22-10 ,429,13.4
225,Grand Canyon (WAC) ,30,20-10 ,403,13.4
225,Army West Point (Patriot) ,30,13-17 ,403,13.4
227,Washington (Pac-12) ,31,20-11 ,417,13.5
227,Eastern Ill. (OVC) ,31,12-19 ,417,13.5
229,Evansville (MVC) ,32,17-15 ,431,13.5
229,UTRGV (WAC) ,32,15-17 ,431,13.5
231,Brown (Ivy League) ,27,11-16 ,364,13.5
231,Cornell (Ivy League) ,27,12-15 ,364,13.5
233,Kentucky (SEC) ,31,21-10 ,418,13.5
234,Prairie View (SWAC) ,33,16-17 ,445,13.5
235,UMass Lowell (America East) ,30,12-18 ,405,13.5
235,VCU (Atlantic 10) ,32,18-14 ,432,13.5
235,North Texas (C-USA) ,32,15-17 ,432,13.5
235,Baylor (Big 12) ,32,18-14 ,432,13.5
239,Quinnipiac (MAAC) ,33,12-21 ,446,13.5
240,Louisiana (Sun Belt) ,31,26-5 ,419,13.5
241,Dartmouth (Ivy League) ,27,7-20 ,365,13.5
242,UCF (AAC) ,31,19-12 ,420,13.5
243,Texas A&M (SEC) ,32,20-12 ,434,13.6
244,Washington St. (Pac-12) ,31,12-19 ,421,13.6
244,Morgan St. (MEAC) ,31,13-18 ,421,13.6
246,Samford (SoCon) ,32,10-22 ,435,13.6
246,Detroit Mercy (Horizon) ,32,8-24 ,435,13.6
246,South Carolina (SEC) ,32,17-15 ,435,13.6
249,Idaho St. (Big Sky) ,30,14-16 ,408,13.6
250,Wyoming (MWC) ,33,20-13 ,449,13.6
251,SIUE (OVC) ,30,9-21 ,409,13.6
251,Kennesaw St. (ASUN) ,30,10-20 ,409,13.6
253,Northeastern (CAA) ,33,23-10 ,450,13.6
254,Gardner-Webb (Big South) ,32,14-18 ,437,13.7
255,Maryland (Big Ten) ,32,19-13 ,438,13.7
255,Wagner (NEC) ,32,23-9 ,438,13.7
257,UNC Asheville (Big South) ,33,21-12 ,452,13.7
258,Green Bay (Horizon) ,33,13-20 ,453,13.7
258,N.C. A&T (MEAC) ,33,20-13 ,453,13.7
260,Dayton (Atlantic 10) ,31,14-17 ,426,13.7
260,Fairleigh Dickinson (NEC) ,31,13-18 ,426,13.7
262,Akron (MAC) ,32,14-18 ,440,13.8
262,Memphis (AAC) ,32,20-12 ,440,13.8
264,Central Ark. (Southland) ,33,17-16 ,454,13.8
265,UNCG (SoCon) ,34,27-7 ,468,13.8
266,American (Patriot) ,30,6-24 ,413,13.8
267,Boston U. (Patriot) ,31,15-16 ,427,13.8
268,Winthrop (Big South) ,31,19-12 ,429,13.8
268,UC Riverside (Big West) ,31,9-22 ,429,13.8
270,Pittsburgh (ACC) ,32,8-24 ,443,13.8
271,Florida A&M (MEAC) ,34,9-25 ,471,13.9
272,DePaul (Big East) ,31,11-20 ,430,13.9
273,Appalachian St. (Sun Belt) ,32,15-17 ,444,13.9
274,CSU Bakersfield (WAC) ,30,12-18 ,417,13.9
275,South Carolina St. (MEAC) ,32,10-22 ,445,13.9
276,Southeastern La. (Southland) ,31,21-10 ,432,13.9
277,Chattanooga (SoCon) ,33,10-23 ,460,13.9
278,McNeese (Southland) ,28,11-17 ,391,14
279,Utah Valley (WAC) ,31,22-9 ,434,14
279,Stony Brook (America East) ,32,13-19 ,448,14
279,Savannah St. (MEAC) ,32,15-17 ,448,14
279,FGCU (ASUN) ,34,23-11 ,476,14
283,South Fla. (AAC) ,32,10-22 ,449,14
284,Harvard (Ivy League) ,29,17-12 ,407,14
285,UC Irvine (Big West) ,33,17-16 ,464,14.1
286,Colorado (Pac-12) ,32,17-15 ,451,14.1
287,Alabama St. (SWAC) ,31,8-23 ,437,14.1
288,Missouri (SEC) ,32,20-12 ,452,14.1
288,N.C. Central (MEAC) ,32,17-15 ,452,14.1
288,Navy (Patriot) ,32,20-12 ,452,14.1
291,Houston Baptist (Southland) ,31,6-25 ,438,14.1
292,LIU Brooklyn (NEC) ,34,18-16 ,481,14.1
293,Alabama (SEC) ,32,18-14 ,455,14.2
294,IUPUI (Horizon) ,30,11-19 ,427,14.2
295,Tennessee Tech (OVC) ,33,19-14 ,471,14.3
296,Austin Peay (OVC) ,32,18-14 ,457,14.3
297,Jacksonville (ASUN) ,33,15-18 ,472,14.3
298,UNLV (MWC) ,33,20-13 ,473,14.3
299,Little Rock (Sun Belt) ,32,7-25 ,459,14.3
300,Abilene Christian (Southland) ,31,16-15 ,445,14.4
301,East Carolina (AAC) ,30,10-20 ,431,14.4
302,Youngstown St. (Horizon) ,32,8-24 ,460,14.4
302,Alcorn (SWAC) ,32,11-21 ,460,14.4
304,Seattle U (WAC) ,32,20-12 ,461,14.4
305,Cal St. Fullerton (Big West) ,29,18-11 ,418,14.4
