Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
244,Army West Point (Patriot) ,30,13-17 ,699,251,35.9
245,Appalachian St. (Sun Belt) ,32,15-17 ,621,223,35.9
246,Northern Ill. (MAC) ,32,13-19 ,763,274,35.9
247,Marshall (C-USA) ,31,21-10 ,623,224,36
248,Loyola Maryland (Patriot) ,31,9-22 ,628,226,36
249,UNI (MVC) ,32,16-16 ,664,239,36
250,UMKC (WAC) ,31,10-21 ,622,224,36
251,NJIT (ASUN) ,30,14-16 ,572,206,36
252,Ball St. (MAC) ,31,19-12 ,694,250,36
253,Utah St. (MWC) ,32,16-16 ,677,244,36
254,Southern Miss. (C-USA) ,32,15-17 ,799,288,36
255,SFA (Southland) ,31,25-6 ,613,221,36.1
256,Boston College (ACC) ,33,19-14 ,807,291,36.1
257,Oklahoma (Big 12) ,31,18-13 ,782,282,36.1
258,UMES (MEAC) ,32,7-25 ,750,271,36.1
259,Arizona (Pac-12) ,31,24-7 ,625,226,36.2
260,Portland St. (Big Sky) ,32,20-12 ,635,230,36.2
261,Western Ky. (C-USA) ,31,22-9 ,701,254,36.2
262,New Orleans (Southland) ,30,15-15 ,549,199,36.2
263,The Citadel (SoCon) ,32,11-21 ,913,331,36.3
264,William & Mary (CAA) ,31,19-12 ,717,260,36.3
265,Hofstra (CAA) ,31,19-12 ,653,237,36.3
266,Incarnate Word (Southland) ,28,7-21 ,584,212,36.3
267,Pacific (WCC) ,32,14-18 ,707,257,36.4
268,Louisiana Tech (C-USA) ,32,17-15 ,616,224,36.4
269,Florida St. (ACC) ,31,20-11 ,723,263,36.4
270,UConn (AAC) ,31,14-17 ,764,278,36.4
271,Central Conn. St. (NEC) ,32,14-18 ,758,276,36.4
272,Navy (Patriot) ,32,20-12 ,678,247,36.4
273,Presbyterian (Big South) ,32,11-21 ,652,238,36.5
274,Austin Peay (OVC) ,32,18-14 ,613,224,36.5
275,James Madison (CAA) ,32,10-22 ,711,260,36.6
276,South Carolina St. (MEAC) ,32,10-22 ,752,275,36.6
277,Rider (MAAC) ,31,22-9 ,795,291,36.6
278,Drexel (CAA) ,33,13-20 ,672,246,36.6
279,Richmond (Atlantic 10) ,30,11-19 ,590,216,36.6
280,Long Beach St. (Big West) ,32,15-17 ,691,253,36.6
281,Indiana (Big Ten) ,31,16-15 ,640,235,36.7
282,St. John's (NY) (Big East) ,32,16-16 ,803,295,36.7
283,West Virginia (Big 12) ,31,22-9 ,623,229,36.8
284,SIUE (OVC) ,30,9-21 ,590,217,36.8
285,Liberty (Big South) ,34,20-14 ,799,294,36.8
286,Bowling Green (MAC) ,32,16-16 ,709,261,36.8
287,Mississippi Val. (SWAC) ,32,4-28 ,747,275,36.8
288,Butler (Big East) ,31,19-12 ,641,236,36.8
289,Elon (CAA) ,32,14-18 ,901,332,36.8
290,Brown (Ivy League) ,27,11-16 ,556,205,36.9
291,North Dakota (Big Sky) ,31,12-19 ,659,243,36.9
292,Northwestern St. (Southland) ,29,4-25 ,591,218,36.9
293,Marist (MAAC) ,31,6-25 ,778,287,36.9
294,Oklahoma St. (Big 12) ,32,19-13 ,645,238,36.9
295,Fresno St. (MWC) ,31,21-10 ,588,217,36.9
296,Charlotte (C-USA) ,29,6-23 ,625,231,37
297,UMass Lowell (America East) ,30,12-18 ,584,216,37
298,Delaware (CAA) ,33,14-19 ,740,274,37
299,Wyoming (MWC) ,32,20-12 ,683,253,37
300,DePaul (Big East) ,31,11-20 ,770,286,37.1
301,Western Mich. (MAC) ,32,17-15 ,780,290,37.2
302,Colgate (Patriot) ,32,19-13 ,712,265,37.2
303,Samford (SoCon) ,32,10-22 ,866,323,37.3
304,Sacramento St. (Big Sky) ,32,7-25 ,662,247,37.3
305,Oakland (Horizon) ,33,19-14 ,635,237,37.3
306,Omaha (Summit League) ,31,9-22 ,739,276,37.3
307,Vanderbilt (SEC) ,32,12-20 ,562,210,37.4
308,Southeast Mo. St. (OVC) ,31,14-17 ,695,260,37.4
309,Stetson (ASUN) ,32,12-20 ,719,269,37.4
310,Minnesota (Big Ten) ,32,15-17 ,715,268,37.5
311,Texas Southern (SWAC) ,32,13-19 ,692,260,37.6
312,Iowa (Big Ten) ,33,14-19 ,755,284,37.6
313,Columbia (Ivy League) ,27,8-19 ,715,269,37.6
314,Milwaukee (Horizon) ,33,16-17 ,698,263,37.7
315,Alabama St. (SWAC) ,31,8-23 ,631,238,37.7
316,Wake Forest (ACC) ,31,11-20 ,702,265,37.7
317,Memphis (AAC) ,31,19-12 ,741,280,37.8
318,Ole Miss (SEC) ,32,12-20 ,761,288,37.8
319,Georgia Tech (ACC) ,32,13-19 ,599,227,37.9
320,Southern Utah (Big Sky) ,30,12-18 ,608,231,38
321,Loyola Marymount (WCC) ,31,11-20 ,626,238,38
322,Cal Poly (Big West) ,30,9-21 ,573,218,38
323,La Salle (Atlantic 10) ,32,13-19 ,633,241,38.1
324,Binghamton (America East) ,31,11-20 ,616,235,38.1
325,Arkansas St. (Sun Belt) ,32,11-21 ,642,245,38.2
326,Niagara (MAAC) ,32,19-13 ,738,282,38.2
327,Eastern Ill. (OVC) ,31,12-19 ,643,246,38.3
328,Charleston So. (Big South) ,31,15-16 ,742,284,38.3
329,Alabama A&M (SWAC) ,31,3-28 ,595,228,38.3
330,TCU (Big 12) ,31,21-10 ,668,256,38.3
331,American (Patriot) ,30,6-24 ,519,199,38.3
332,New Mexico (MWC) ,31,17-14 ,538,207,38.5
333,North Carolina (ACC) ,32,23-9 ,829,319,38.5
334,Delaware St. (MEAC) ,32,4-28 ,813,313,38.5
335,Dayton (Atlantic 10) ,30,14-16 ,657,254,38.7
336,UNCW (CAA) ,32,11-21 ,770,298,38.7
337,Cornell (Ivy League) ,27,12-15 ,638,247,38.7
338,Northern Ariz. (Big Sky) ,32,5-27 ,774,301,38.9
339,Eastern Ky. (OVC) ,31,11-20 ,654,256,39.1
340,Chicago St. (WAC) ,31,3-28 ,717,281,39.2
341,Fairfield (MAAC) ,33,17-16 ,690,271,39.3
342,Houston Baptist (Southland) ,31,6-25 ,687,271,39.4
343,Quinnipiac (MAAC) ,33,12-21 ,722,286,39.6
344,Air Force (MWC) ,31,12-19 ,726,288,39.7
345,Detroit Mercy (Horizon) ,32,8-24 ,751,298,39.7
346,Santa Clara (WCC) ,31,11-20 ,501,200,39.9
347,California (Pac-12) ,31,8-23 ,685,274,40
348,Pepperdine (WCC) ,32,6-26 ,761,305,40.1
349,Youngstown St. (Horizon) ,32,8-24 ,642,258,40.2
350,Bryant (NEC) ,31,3-28 ,760,308,40.5
351,USC Upstate (ASUN) ,32,7-25 ,697,287,41.2
