Rank,Team,GM,W-L,FT,FTA
290,South Fla. (AAC) ,31,10-21 ,389,534
291,Alabama A&M (SWAC) ,31,3-28 ,345,533
292,Little Rock (Sun Belt) ,31,7-24 ,326,532
292,Mt. St. Mary's (NEC) ,32,18-14 ,390,532
294,UTEP (C-USA) ,30,11-19 ,353,529
295,Milwaukee (Horizon) ,33,16-17 ,356,528
295,Binghamton (America East) ,31,11-20 ,338,528
297,Missouri St. (MVC) ,33,18-15 ,377,527
298,VCU (Atlantic 10) ,31,17-14 ,366,526
298,Gardner-Webb (Big South) ,32,14-18 ,378,526
300,Miami (OH) (MAC) ,32,16-16 ,360,524
300,Fla. Atlantic (C-USA) ,30,12-18 ,386,524
300,Santa Clara (WCC) ,31,11-20 ,380,524
303,Pittsburgh (ACC) ,31,8-23 ,364,523
304,Bryant (NEC) ,31,3-28 ,368,522
304,Wofford (SoCon) ,33,21-12 ,408,522
306,Miami (FL) (ACC) ,30,22-8 ,347,521
307,Stetson (ASUN) ,32,12-20 ,348,518
308,Omaha (Summit League) ,31,9-22 ,365,517
308,Belmont (OVC) ,33,24-9 ,382,517
308,Oral Roberts (Summit League) ,32,11-21 ,354,517
311,Delaware St. (MEAC) ,32,4-28 ,358,516
311,Southern Miss. (C-USA) ,31,14-17 ,363,516
313,Dayton (Atlantic 10) ,30,14-16 ,375,515
313,Marquette (Big East) ,30,18-12 ,409,515
315,Colgate (Patriot) ,31,19-12 ,395,514
316,Eastern Wash. (Big Sky) ,31,18-13 ,393,511
317,Presbyterian (Big South) ,32,11-21 ,350,510
318,Creighton (Big East) ,31,21-10 ,381,508
318,Butler (Big East) ,31,19-12 ,393,508
320,Lafayette (Patriot) ,31,10-21 ,390,507
321,New Mexico St. (WAC) ,30,25-5 ,322,506
322,Kansas (Big 12) ,31,24-7 ,350,501
323,George Washington (Atlantic 10) ,31,14-17 ,356,500
323,Sacramento St. (Big Sky) ,31,7-24 ,340,500
325,Coppin St. (MEAC) ,32,5-27 ,366,497
326,Richmond (Atlantic 10) ,30,11-19 ,352,491
326,American (Patriot) ,30,6-24 ,326,491
328,Jackson St. (SWAC) ,31,12-20 ,318,485
329,East Carolina (AAC) ,29,10-19 ,321,482
329,Saint Peter's (MAAC) ,32,14-18 ,350,482
331,Lehigh (Patriot) ,30,16-14 ,373,480
332,VMI (SoCon) ,30,9-21 ,353,477
333,Dartmouth (Ivy League) ,27,7-20 ,339,475
334,CSUN (Big West) ,30,6-24 ,335,473
335,Harvard (Ivy League) ,29,17-12 ,363,469
336,Holy Cross (Patriot) ,31,12-19 ,321,465
337,USC Upstate (ASUN) ,32,7-25 ,334,460
338,Elon (CAA) ,32,14-18 ,325,457
339,Western Ill. (Summit League) ,28,12-16 ,326,456
340,Cal Poly (Big West) ,30,9-21 ,351,454
341,Army West Point (Patriot) ,30,13-17 ,295,448
342,Temple (AAC) ,30,16-14 ,303,445
343,Princeton (Ivy League) ,29,13-16 ,313,443
344,Fordham (Atlantic 10) ,30,9-21 ,309,438
344,Massachusetts (Atlantic 10) ,31,12-19 ,326,438
346,Washington St. (Pac-12) ,30,12-18 ,312,426
346,UT Martin (OVC) ,31,10-21 ,309,426
348,La.-Monroe (Sun Belt) ,29,15-14 ,302,422
349,Columbia (Ivy League) ,27,8-19 ,301,407
350,Virginia (ACC) ,30,28-2 ,307,406
351,Davidson (Atlantic 10) ,29,18-11 ,319,402
