Rank,Team,GM,W-L,Fouls,PFPG,DQ
302,Central Ark. (Southland) ,32,17-15 ,641,20,13
305,Fairfield (MAAC) ,33,17-16 ,663,20.1,22
305,Robert Morris (NEC) ,33,16-17 ,663,20.1,13
307,Seattle U (WAC) ,31,19-12 ,624,20.1,21
308,Montana St. (Big Sky) ,32,13-19 ,645,20.2,17
309,St. Bonaventure (Atlantic 10) ,30,24-6 ,606,20.2,22
309,Grand Canyon (WAC) ,30,20-10 ,606,20.2,16
311,Stony Brook (America East) ,32,13-19 ,647,20.2,13
312,Detroit Mercy (Horizon) ,32,8-24 ,649,20.3,15
313,California (Pac-12) ,31,8-23 ,629,20.3,21
314,Oregon St. (Pac-12) ,30,15-15 ,610,20.3,15
315,Coppin St. (MEAC) ,32,5-27 ,651,20.3,26
316,Jackson St. (SWAC) ,31,12-20 ,633,20.4,14
317,Arkansas (SEC) ,31,21-10 ,635,20.5,8
318,Illinois St. (MVC) ,33,18-15 ,678,20.5,21
319,Mississippi Val. (SWAC) ,32,4-28 ,658,20.6,10
320,Howard (MEAC) ,33,10-23 ,680,20.6,27
321,Morehead St. (OVC) ,29,8-21 ,598,20.6,15
322,New Mexico (MWC) ,31,17-14 ,641,20.7,17
323,UC Irvine (Big West) ,32,16-16 ,665,20.8,16
324,Alabama St. (SWAC) ,31,8-23 ,648,20.9,13
325,San Diego (WCC) ,31,18-13 ,649,20.9,19
326,Bethune-Cookman (MEAC) ,32,18-14 ,670,20.9,24
326,Norfolk St. (MEAC) ,32,14-18 ,670,20.9,17
326,James Madison (CAA) ,32,10-22 ,670,20.9,24
329,UMKC (WAC) ,31,10-21 ,650,21,19
329,Abilene Christian (Southland) ,31,16-15 ,650,21,14
331,Youngstown St. (Horizon) ,32,8-24 ,672,21,17
331,Brown (Ivy League) ,27,11-16 ,567,21,21
331,Houston (AAC) ,30,24-6 ,630,21,16
334,A&M-Corpus Christi (Southland) ,29,11-18 ,610,21,19
335,Valparaiso (MVC) ,32,15-17 ,679,21.2,15
336,West Virginia (Big 12) ,31,22-9 ,665,21.5,11
337,Buffalo (MAC) ,31,23-8 ,666,21.5,17
338,SIUE (OVC) ,30,9-21 ,645,21.5,24
339,Montana (Big Sky) ,30,23-7 ,646,21.5,14
340,St. Francis Brooklyn (NEC) ,31,13-18 ,668,21.5,7
341,Monmouth (MAAC) ,31,11-20 ,675,21.8,15
341,Grambling (SWAC) ,31,17-14 ,675,21.8,22
343,Chicago St. (WAC) ,31,3-28 ,678,21.9,18
344,UTRGV (WAC) ,31,15-16 ,680,21.9,15
345,Southern Utah (Big Sky) ,30,12-18 ,660,22,31
346,Nicholls St. (Southland) ,31,21-10 ,683,22,21
347,Portland St. (Big Sky) ,32,20-12 ,708,22.1,28
348,Prairie View (SWAC) ,33,16-17 ,731,22.2,21
349,Wagner (NEC) ,32,23-9 ,710,22.2,24
350,SFA (Southland) ,31,25-6 ,688,22.2,20
351,Illinois (Big Ten) ,32,14-18 ,721,22.5,18
