Rank,Team,GM,W-L,AST,APG
273,Pacific (WCC) ,32,14-18 ,395,12.3
274,Howard (MEAC) ,33,10-23 ,407,12.3
275,Ark.-Pine Bluff (SWAC) ,32,13-20 ,394,12.3
276,Vanderbilt (SEC) ,31,12-19 ,381,12.3
277,Quinnipiac (MAAC) ,33,12-21 ,404,12.2
278,American (Patriot) ,30,6-24 ,367,12.2
279,Little Rock (Sun Belt) ,31,7-24 ,379,12.2
280,Radford (Big South) ,34,22-12 ,415,12.2
281,CSUN (Big West) ,30,6-24 ,366,12.2
282,Rice (C-USA) ,31,7-24 ,378,12.2
283,Binghamton (America East) ,31,11-20 ,376,12.1
284,James Madison (CAA) ,32,10-22 ,388,12.1
285,Portland (WCC) ,32,10-22 ,387,12.1
286,Saint Louis (Atlantic 10) ,31,16-15 ,374,12.1
287,Niagara (MAAC) ,32,19-13 ,386,12.1
288,Cal Poly (Big West) ,30,9-21 ,361,12
289,Duquesne (Atlantic 10) ,31,16-15 ,372,12
290,Towson (CAA) ,32,18-14 ,381,11.9
291,Marist (MAAC) ,31,6-25 ,369,11.9
292,Fla. Atlantic (C-USA) ,30,12-18 ,357,11.9
293,Texas Southern (SWAC) ,32,13-19 ,380,11.9
294,Charleston So. (Big South) ,31,15-16 ,368,11.9
294,New Hampshire (America East) ,31,10-21 ,368,11.9
296,VMI (SoCon) ,30,9-21 ,356,11.9
296,Morgan St. (MEAC) ,30,12-18 ,356,11.9
298,Morehead St. (OVC) ,29,8-21 ,344,11.9
299,Northern Colo. (Big Sky) ,32,21-11 ,379,11.8
300,South Fla. (AAC) ,31,10-21 ,367,11.8
301,Saint Peter's (MAAC) ,32,14-18 ,378,11.8
301,Maine (America East) ,32,6-26 ,378,11.8
303,Idaho St. (Big Sky) ,30,14-16 ,354,11.8
304,FIU (C-USA) ,31,14-17 ,365,11.8
305,High Point (Big South) ,30,14-16 ,353,11.8
306,Kent St. (MAC) ,32,16-16 ,376,11.8
307,Chicago St. (WAC) ,31,3-28 ,364,11.7
308,Southern Utah (Big Sky) ,30,12-18 ,352,11.7
309,Delaware (CAA) ,33,14-19 ,386,11.7
310,George Mason (Atlantic 10) ,31,15-16 ,362,11.7
310,Washington (Pac-12) ,31,20-11 ,362,11.7
312,Loyola Maryland (Patriot) ,31,9-22 ,360,11.6
312,Indiana St. (MVC) ,31,13-18 ,360,11.6
314,Robert Morris (NEC) ,33,16-17 ,382,11.6
315,Texas (Big 12) ,31,18-13 ,358,11.5
316,St. Francis Brooklyn (NEC) ,31,13-18 ,357,11.5
317,Drexel (CAA) ,33,13-20 ,380,11.5
318,Presbyterian (Big South) ,32,11-21 ,368,11.5
319,Col. of Charleston (CAA) ,33,26-7 ,377,11.4
320,Southern U. (SWAC) ,32,15-17 ,363,11.3
321,A&M-Corpus Christi (Southland) ,28,11-17 ,316,11.3
322,UMKC (WAC) ,31,10-21 ,347,11.2
323,Syracuse (ACC) ,32,20-12 ,356,11.1
324,Incarnate Word (Southland) ,28,7-21 ,311,11.1
325,Siena (MAAC) ,32,8-24 ,355,11.1
326,Grambling (SWAC) ,31,17-14 ,342,11
327,South Carolina St. (MEAC) ,32,10-22 ,352,11
327,Charlotte (C-USA) ,29,6-23 ,319,11
327,Western Ill. (Summit League) ,28,12-16 ,308,11
330,Alabama A&M (SWAC) ,31,3-28 ,340,11
331,Florida A&M (MEAC) ,33,9-24 ,361,10.9
332,McNeese (Southland) ,28,11-17 ,306,10.9
333,Jackson St. (SWAC) ,31,12-20 ,338,10.9
333,Arkansas St. (Sun Belt) ,31,11-20 ,338,10.9
335,Delaware St. (MEAC) ,32,4-28 ,348,10.9
336,Tennessee St. (OVC) ,30,15-15 ,326,10.9
